date,open,high,low,close,CI,trend,trend_in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,typical_spread_in_points,weighted_avg_execution_spread_$,PnL_per_lot,total_profit,total_volume
2020-05-11,1.23911,1.2437,1.22824,1.2332,57.108628562740805,0.0,0.0,0.012587116524457785,0.007562138369304516,High_Volatility,High Volatility + No Trend,,,-3.291462,-9289.361069,2822.26
2020-05-12,1.23269,1.23771,1.22548,1.22597,55.57224879397021,0.0,0.5,0.009979763031628576,0.00759542877692047,High_Volatility,High Volatility + No Trend,,,-0.539208,-2586.548882,4796.94
2020-05-13,1.22558,1.23395,1.22097,1.22351,51.13418426176936,0.0,0.5,0.010630891831904134,0.007602396176136073,High_Volatility,High Volatility + No Trend,,,-6.586405,-28918.92941,4390.7
2020-05-14,1.22318,1.22413,1.21654,1.22306,47.22775062798765,0.0,0.5,0.0062390057047034915,0.007602396176136073,Low_Volatility,Low Volatility + No Trend,,,6.722294,32565.01239,4844.33
2020-05-15,1.22209,1.22384,1.20999,1.20999,42.41263979116474,0.0,0.5,0.011446375589881024,0.007622867607269736,High_Volatility,High Volatility + No Trend,,,-27.541321,-101564.6798,3687.72
2020-05-18,1.20834,1.22269,1.20754,1.21951,40.88652752209721,0.0,0.5,0.01254616824287394,0.007646817740305874,High_Volatility,High Volatility + No Trend,,,-49.615248,-178286.4386,3593.38
2020-05-19,1.21935,1.22958,1.21838,1.22488,41.10193838437065,0.0,0.5,0.009192534348889407,0.007665483476411373,High_Volatility,High Volatility + No Trend,,,-13.497466,-46084.39817,3414.3
2020-05-20,1.22354,1.22872,1.22208,1.22369,43.76200699724023,0.0,0.5,0.005433359518198464,0.007665483476411373,Low_Volatility,Low Volatility + No Trend,,,-25.707857,-78969.90829,3071.82
2020-05-21,1.22296,1.22494,1.21852,1.22217,52.61359319628996,0.0,0.5,0.005268686603420436,0.007665483476411373,Low_Volatility,Low Volatility + No Trend,,,-9.513132,-29097.1517,3058.63
2020-05-22,1.22151,1.22332,1.21611,1.21641,52.583437188110686,0.0,0.5,0.005928739998848738,0.007665483476411373,Low_Volatility,Low Volatility + No Trend,,,2.072643,6631.359874,3199.47
2020-05-25,1.2168,1.22032,1.21602,1.21833,54.01281333639097,0.0,0.5,0.0035361260505583545,0.007665483476411373,Low_Volatility,Low Volatility + No Trend,,,17.603872,47721.80893,2710.87
2020-05-26,1.21833,1.23626,1.21833,1.23365,53.9915335488586,0.0,0.5,0.014716866530414586,0.0077101925019136125,High_Volatility,High Volatility + No Trend,,,0.555367,852.9156026,1535.77
2020-05-27,1.23317,1.23539,1.2204,1.2259,53.906128022850304,0.0,0.5,0.012282858079318306,0.007745638503394735,High_Volatility,High Volatility + No Trend,,,-68.728365,-261209.7126,3800.61
