date,open,high,low,close,move,abs_move,st_dev,avg_move,st_dev_move,pct_move,abs_pct_move,st_dev_pct,st_dev_pct_move,diff,avg_diff,avg_diff_multiple,2_st_dev_move,3_st_dev_move,2_st_dev_pct_move,3_st_dev_pct_move,2_mean_diff,3_mean_diff,2_st_dev_move_price,3_st_dev_move_price,2_st_dev_pct_move_price,3_st_dev_pct_move_price,2_mean_diff_move_price,3_mean_diff_move_price
2015-11-30,1.05887,1.05947,1.05576,1.05643,-0.002950000000000008,0.002950000000000008,0.008174023880917251,0.006369722222222223,0.3608993615600953,-0.002784647624082018,0.002784647624082018,0.00731754632596345,0.3805439009250663,0.00370999999999988,0.012399841269841264,0.2991973783586484,0,0,0,0,0,0,,,,,,
2015-12-01,1.05639,1.06369,1.05629,1.06324,0.006809999999999983,0.006809999999999983,0.008172127905289494,0.0063677380952380964,0.8333202904952258,0.006446238747479703,0.006446238747479703,0.0073195328058887595,0.880689918117934,0.007400000000000073,0.012394999999999993,0.5970149253731406,0,0,0,0,0,0,,,,,,
2015-12-02,1.0634,1.06355,1.05505,1.06135,-0.0018899999999999473,0.0018899999999999473,0.00817003878852762,0.006359880952380953,0.23133305103200832,-0.0017775854933974901,0.0017775854933974901,0.007318193362266259,0.2428994979229432,0.008499999999999952,0.01237916666666666,0.6866374957926589,0,0,0,0,0,0,,,,,,
2015-12-03,1.06121,1.09807,1.05222,1.09385,0.03249999999999997,0.03249999999999997,0.008425739902405686,0.006468214285714286,3.8572280151587273,0.030621378433127594,0.030621378433127594,0.007572024919057945,4.0440144823159505,0.04585000000000017,0.012521111111111106,3.6618156003194753,1,1,1,1,1,1,1.09385,1.09385,1.09385,1.09385,1.09385,1.09385
2015-12-04,1.09408,1.09559,1.08357,1.08779,-0.006059999999999954,0.006059999999999954,0.008431868986287085,0.006482142857142857,0.7187018690465248,-0.0055400649083511945,0.0055400649083511945,0.0075780850872554355,0.7310639620117603,0.012020000000000142,0.012543373015873011,0.9582749380720348,0,0,0,0,0,0,,,,,,
2015-12-07,1.08681,1.08872,1.07958,1.08366,-0.004129999999999967,0.004129999999999967,0.008418807135065896,0.0064684920634920625,0.49056831137011675,-0.0037966886991054956,0.0037966886991054956,0.007569416116397353,0.5015827694927308,0.009139999999999926,0.012525595238095233,0.7297058404219874,0,0,0,0,0,0,,,,,,
2015-12-08,1.08348,1.09021,1.08299,1.0892,0.005539999999999878,0.005539999999999878,0.008364428927873412,0.006423174603174602,0.6623285400320065,0.0051123045973828305,0.0051123045973828305,0.007532792011058625,0.6786732714613171,0.007220000000000004,0.012476865079365074,0.5786710006138351,0,0,0,0,0,0,,,,,,
2015-12-09,1.08895,1.10427,1.08789,1.10244,0.01324000000000014,0.01324000000000014,0.008403679838743284,0.006453888888888888,1.575500287262264,0.01215571061329429,0.01215571061329429,0.007570335675886571,1.6057029877833946,0.01638000000000006,0.01250730158730158,1.3096350068531453,0,0,0,0,0,0,,,,,,
2015-12-10,1.10214,1.10242,1.09247,1.09401,-0.00843000000000016,0.00843000000000016,0.008410549571147218,0.006462261904761905,1.0023126228183312,-0.007646674648960632,0.007646674648960632,0.007578219239075834,1.0090331788676445,0.009949999999999903,0.012514285714285707,0.795091324200906,0,0,0,0,0,0,,,,,,
2015-12-11,1.09395,1.10305,1.09263,1.09894,0.004930000000000101,0.004930000000000101,0.008417239132082024,0.006479404761904763,0.5857027372799202,0.004506357345911007,0.004506357345911007,0.007584338750400768,0.5941661487196738,0.010420000000000096,0.012533452380952376,0.831375081923622,0,0,0,0,0,0,,,,,,
