date,open,high,low,close,TR,ATR,CI,trend
2015.08.26,1.56866,1.57198,1.54521,1.54579,0.02676999999999996,0.011862142857142868,50.85757797660627,1
2015.08.27,1.5458,1.55082,1.53697,1.54027,0.01385000000000014,0.011990000000000025,46.305229644984344,1
2015.08.28,1.54027,1.54428,1.53349,1.53855,0.010790000000000077,0.011704285714285738,43.61069665745878,1
2015.08.31,1.54099,1.54367,1.53389,1.53427,0.009780000000000122,0.011964285714285745,43.87782134956644,1
2015.09.01,1.53428,1.5408,1.52995,1.53031,0.010850000000000026,0.011840000000000041,41.5139541765806,1
2015.09.02,1.53033,1.53258,1.52641,1.52926,0.006170000000000009,0.011829285714285764,39.315053522069626,1
2015.09.03,1.52932,1.53128,1.5219,1.52562,0.009379999999999944,0.01198571428571433,36.74554500010688,1
2015.09.04,1.5256,1.52715,1.51628,1.51672,0.010869999999999935,0.011979285714285748,33.72241675784445,1
2015.09.07,1.51758,1.52883,1.5171,1.5269,0.012109999999999843,0.01173857142857144,33.943736218704416,1
2015.09.08,1.52701,1.54124,1.52701,1.53905,0.01434000000000002,0.012297857142857154,34.31603697041514,1
2015.09.09,1.53903,1.54042,1.53495,1.53661,0.005469999999999864,0.012005714285714286,34.67248919010956,1
2015.09.10,1.53675,1.54757,1.53387,1.5441,0.013699999999999823,0.012515714285714265,35.16549857946955,1
2015.09.11,1.54445,1.54615,1.53994,1.54274,0.006209999999999827,0.011726428571428535,35.31688703873798,1
2015.09.14,1.54298,1.54708,1.53724,1.54238,0.009840000000000071,0.01143785714285712,41.57839660839409,1
2015.09.15,1.5425,1.54566,1.53295,1.53425,0.012709999999999999,0.010433571428571407,59.35992028562956,1
2015.09.16,1.53432,1.55283,1.53297,1.54879,0.01985999999999999,0.01086285714285711,56.95758242598015,0
2015.09.17,1.5489,1.56281,1.54855,1.55876,0.01425999999999994,0.011110714285714243,47.67264287296182,0
2015.09.18,1.55893,1.56585,1.55136,1.55232,0.014489999999999892,0.011447142857142798,45.154618894800926,0
2015.09.21,1.55233,1.55673,1.54802,1.55057,0.008709999999999996,0.011294285714285654,45.02770916960973,0
2015.09.22,1.55082,1.55285,1.53401,1.53612,0.018839999999999968,0.01219928571428565,45.11380167039984,0
2015.09.23,1.53593,1.53653,1.52207,1.52381,0.014459999999999917,0.012562142857142791,45.24753794052481,0
2015.09.24,1.52394,1.52887,1.52003,1.52418,0.008839999999999959,0.012417142857142793,45.980877120901475,0
2015.09.25,1.52422,1.52608,1.51353,1.51746,0.012550000000000061,0.01244857142857138,43.466536866273245,0
