date,open,high,low,close,CI,trend,trend_in_progress
2016.02.12,1.44717,1.45699,1.44427,1.44979,55.17336599876539,0.0,0.5
2016.02.15,1.45038,1.45351,1.44122,1.44298,55.698861779911375,0.0,0.5
2016.02.16,1.44291,1.45153,1.42759,1.43016,56.329952752659516,0.0,0.5
2016.02.17,1.43016,1.43389,1.42345,1.42864,56.82464474231299,0.0,0.5
2016.02.18,1.42858,1.43941,1.4256,1.43293,63.20809696302712,0.0,0.0
2016.02.19,1.43339,1.43954,1.42462,1.43907,63.885212741674046,0.0,0.0
2016.02.22,1.42745,1.43056,1.4057,1.41488,51.192675762741004,0.0,0.5
2016.02.23,1.41489,1.41558,1.40073,1.40192,48.18734328395467,0.0,0.5
2016.02.24,1.40191,1.40266,1.38781,1.39245,45.37417217948933,0.0,0.5
2016.02.25,1.39223,1.39961,1.38992,1.39574,45.95422293565998,0.0,0.5
2016.02.26,1.39575,1.40421,1.38533,1.38725,44.53952532296909,0.0,0.5
2016.02.29,1.38527,1.3946,1.38352,1.39114,43.428346253515684,0.0,0.5
2016.03.01,1.39112,1.40177,1.39032,1.39504,43.64674095946294,0.0,0.5
2016.03.02,1.39512,1.40924,1.39143,1.40749,43.427920194909866,0.0,0.5
2016.03.03,1.40758,1.41938,1.40316,1.41722,45.03912374387764,0.0,0.5
2016.03.04,1.41714,1.4248,1.41067,1.42227,46.003467952139445,0.0,0.5
2016.03.07,1.42148,1.42833,1.41332,1.42588,52.98745254634549,0.0,0.5
2016.03.08,1.42594,1.42752,1.41731,1.4211,52.70211964176338,0.0,0.5
2016.03.09,1.4211,1.42409,1.4177,1.42102,52.476844397026895,0.0,0.5
2016.03.10,1.42102,1.43165,1.41174,1.42763,58.14534218713158,0.0,0.0
2016.03.11,1.42775,1.44359,1.42538,1.43756,49.218177273321565,0.0,0.5
2016.03.14,1.43714,1.43889,1.42922,1.42983,48.76194847629604,0.0,0.5
2016.03.15,1.42989,1.43049,1.41383,1.41508,48.311870762347425,0.0,0.5
2016.03.16,1.41514,1.4273,1.40524,1.42502,48.06720083452115,0.0,0.5
2016.03.17,1.42493,1.45027,1.42211,1.44717,43.95353004603497,0.0,0.5
2016.03.18,1.44722,1.45141,1.44103,1.4476,47.2173462061892,0.0,0.5
2016.03.21,1.44555,1.44673,1.43648,1.43664,47.85504513359576,0.0,0.5
2016.03.22,1.43666,1.43971,1.41904,1.42112,56.084400129888024,0.0,0.5
2016.03.23,1.42112,1.4228,1.40811,1.41161,57.67323904867032,0.0,0.0
2016.03.24,1.4116,1.41825,1.40564,1.41516,57.54904826184744,0.0,0.0
2016.03.25,1.41516,1.41558,1.41077,1.41296,57.40808836188747,0.0,0.0
2016.03.28,1.41262,1.42826,1.41193,1.42533,57.348640721183514,0.0,0.0
2016.03.29,1.42529,1.44033,1.41944,1.43802,57.571378778047574,0.0,0.0
2016.03.30,1.43751,1.44587,1.43606,1.4376,57.599850344132825,0.0,0.0
2016.03.31,1.43754,1.44258,1.43254,1.4358,57.717740922488204,0.0,0.0
2016.04.01,1.436,1.43708,1.41703,1.42207,58.03299607613974,0.0,0.0
2016.04.04,1.42186,1.43213,1.41902,1.4262,58.27821295192436,0.0,0.0
2016.04.05,1.42563,1.42783,1.41209,1.41587,58.61699417175816,0.0,0.0
2016.04.06,1.41586,1.41709,1.40048,1.41205,54.31518314526238,0.0,0.5
2016.04.07,1.41198,1.41567,1.40485,1.40557,57.726449652772764,0.0,0.0
2016.04.08,1.40556,1.41403,1.404,1.41201,58.185172619424925,0.0,0.0
2016.04.11,1.41132,1.42863,1.41056,1.42347,57.860328669796964,0.0,0.0
2016.04.12,1.42337,1.43478,1.41963,1.42733,57.55866356174219,0.0,0.0
2016.04.13,1.4272,1.42791,1.4192,1.42014,57.223244092544114,0.0,0.0
2016.04.14,1.42013,1.42063,1.40898,1.41513,57.110598408654596,0.0,0.0
2016.04.15,1.41508,1.42409,1.41323,1.4199,56.843743926584246,0.0,0.5
2016.04.18,1.41947,1.42902,1.41303,1.42751,56.31417938871583,0.0,0.5
2016.04.19,1.42748,1.44185,1.427,1.43932,58.834879901939935,0.0,0.0
2016.04.20,1.43937,1.44099,1.43275,1.43275,59.25165673667389,0.0,0.0
2016.04.21,1.43288,1.44398,1.42986,1.43205,56.87610109216911,1.0,0.5
2016.04.22,1.43206,1.44512,1.43096,1.43997,55.48125001672741,1.0,0.5
2016.04.25,1.44608,1.45191,1.44022,1.44789,49.73255086225344,1.0,0.5
2016.04.26,1.44788,1.46384,1.44771,1.45787,43.76434696388198,1.0,0.5
2016.04.27,1.45782,1.46207,1.44724,1.45394,43.58479095362053,1.0,0.5
2016.04.28,1.45395,1.46223,1.45219,1.46054,46.71265990923878,1.0,0.5
2016.04.29,1.46006,1.46698,1.45759,1.46068,44.350403598004625,1.0,0.5
2016.05.02,1.45808,1.46958,1.45804,1.4672,42.374458516542624,1.0,0.5
2016.05.03,1.4671,1.47696,1.45285,1.4534,37.98604257308364,1.0,0.0
2016.05.04,1.45324,1.45711,1.44608,1.4492,40.17040749657898,0.0,0.0
2016.05.05,1.44917,1.45282,1.44431,1.44826,40.072605277063,0.0,0.0
2016.05.06,1.44825,1.45482,1.44142,1.44234,49.35154809230424,0.0,0.0
2016.05.09,1.44144,1.44793,1.43745,1.44061,51.38207540158048,0.0,0.0
2016.05.10,1.44055,1.44775,1.43888,1.44394,51.21392767160183,0.0,0.0
2016.05.11,1.44389,1.44876,1.43944,1.44459,51.95736557212713,0.0,0.0
2016.05.12,1.44439,1.45296,1.44058,1.44477,57.52522957075352,0.0,0.0
2016.05.13,1.4447,1.4452,1.43398,1.43503,54.185760631518804,0.0,0.5
2016.05.16,1.43477,1.44141,1.43321,1.43978,53.2497845831936,0.0,0.5
2016.05.17,1.4398,1.45236,1.43939,1.44601,52.89500199265579,0.0,0.5
2016.05.18,1.44583,1.46342,1.44029,1.45966,52.7385897103537,0.0,0.5
2016.05.19,1.45961,1.46628,1.45609,1.46082,52.72766740638169,0.0,0.5
2016.05.20,1.46081,1.46126,1.44848,1.44953,52.7913109093771,0.0,0.5
2016.05.23,1.45025,1.45481,1.44417,1.4483,63.01428013930954,0.0,0.0
2016.05.24,1.4484,1.46416,1.4471,1.4632,62.732717143934266,0.0,0.0
2016.05.25,1.46295,1.4729,1.46005,1.4695,55.63994334411514,0.0,0.5
2016.05.26,1.46936,1.47388,1.46398,1.46676,54.522029474531095,0.0,0.5
2016.05.27,1.46677,1.46885,1.46041,1.46126,54.36432089585995,0.0,0.5
2016.05.30,1.46015,1.46409,1.45871,1.464,54.14031559350385,0.0,0.5
2016.05.31,1.46371,1.47241,1.44645,1.44806,54.257332393343226,0.0,0.5
2016.06.01,1.44803,1.45071,1.43853,1.44135,54.39901929988437,0.0,0.5
2016.06.02,1.44138,1.44722,1.44,1.44202,54.48839156039008,0.0,0.5
2016.06.03,1.44203,1.45819,1.43982,1.45114,60.173995249829495,0.0,0.0
2016.06.06,1.44665,1.44819,1.43515,1.44386,57.15909303692182,0.0,0.0
2016.06.07,1.44357,1.4657,1.44328,1.4542,57.38770011870576,0.0,0.0
2016.06.08,1.45428,1.46,1.44995,1.45012,57.60057327409692,0.0,0.0
2016.06.09,1.4503,1.45268,1.44463,1.44536,57.72141913973332,0.0,0.0
2016.06.10,1.44536,1.4473,1.41794,1.42498,44.39589448540681,1.0,0.5
2016.06.13,1.42677,1.43276,1.41144,1.4259,40.801014910491794,1.0,0.5
2016.06.14,1.4266,1.4266,1.40899,1.41084,39.910772831766025,1.0,0.0
2016.06.15,1.41094,1.42176,1.40838,1.4203,41.07599538703513,0.0,0.0
2016.06.16,1.41998,1.42531,1.40116,1.42024,37.92450057221873,1.0,0.0
2016.06.17,1.42025,1.4387,1.41924,1.43497,39.03975698293274,1.0,0.0
2016.06.20,1.44583,1.47181,1.4433,1.46802,40.3676010178144,0.0,0.0
2016.06.21,1.4676,1.47828,1.46148,1.46496,38.09057042343216,1.0,0.0
2016.06.22,1.4649,1.47735,1.46409,1.47074,39.23121488229821,1.0,0.0
2016.06.23,1.47074,1.49464,1.46982,1.48683,33.00356283058384,1.0,0.0
2016.06.24,1.48923,1.50164,1.32268,1.36597,11.269753963732223,1.0,0.0
2016.06.27,1.3426,1.34821,1.31195,1.32204,12.071386052265483,1.0,0.0
2016.06.28,1.32203,1.34189,1.31958,1.33417,14.977463953219845,1.0,0.0
2016.06.29,1.33421,1.35326,1.32859,1.3422,17.86703900552383,1.0,0.0
2016.06.30,1.3426,1.34954,1.32053,1.33076,20.39326807134937,1.0,0.0
2016.07.01,1.33073,1.33493,1.32433,1.32694,22.644147041432976,1.0,0.0
2016.07.04,1.32462,1.33398,1.32393,1.328,24.677238926083607,1.0,0.0
2016.07.05,1.32787,1.32851,1.29998,1.30217,24.370493360122133,1.0,0.0
2016.07.06,1.30217,1.3026,1.2795,1.2928,22.50327338017676,1.0,0.0
2016.07.07,1.29278,1.30464,1.28745,1.29047,24.114444824742556,1.0,0.0
2016.07.08,1.29053,1.30182,1.28799,1.29497,25.44952762108159,1.0,0.0
2016.07.11,1.29497,1.30175,1.28498,1.29949,26.711180986870414,1.0,0.0
2016.07.12,1.29812,1.32944,1.29728,1.32462,28.00707462556445,1.0,0.0
2016.07.13,1.3244,1.33378,1.31331,1.31438,29.199268186912096,1.0,0.0
2016.07.14,1.31443,1.34751,1.31045,1.334,70.42599173596413,0.0,0.0
2016.07.15,1.334,1.34797,1.3131,1.31727,69.57292328180857,0.0,0.0
2016.07.18,1.3193,1.33145,1.31868,1.3254,68.57793436124487,0.0,0.0
2016.07.19,1.32533,1.32739,1.30735,1.31057,69.38569148580306,0.0,0.0
2016.07.20,1.31057,1.32265,1.30643,1.32013,68.97580163543608,0.0,0.0
2016.07.21,1.31998,1.3274,1.3155,1.32312,67.74248270886993,0.0,0.0
2016.07.22,1.32325,1.32899,1.30779,1.31085,66.59544633708498,0.0,0.0
2016.07.25,1.31447,1.31641,1.30939,1.31351,65.15384848962296,0.0,0.0
2016.07.26,1.31345,1.31763,1.30566,1.3128,66.74185250825249,0.0,0.0
2016.07.27,1.31282,1.32342,1.30725,1.32205,65.11039134374523,0.0,0.0
2016.07.28,1.32205,1.32472,1.31165,1.3161,63.58447092230445,0.0,0.0
2016.07.29,1.31607,1.33005,1.31472,1.32225,70.21471851384491,0.0,0.0
2016.08.01,1.32217,1.32716,1.3162,1.3173,75.0371543995004,0.0,0.0
2016.08.02,1.31721,1.33654,1.31709,1.3355,72.9290038832181,0.0,0.0
2016.08.03,1.3355,1.33712,1.32801,1.3324,71.80843797485149,0.0,0.0
2016.08.04,1.3324,1.33451,1.31021,1.3105,81.96642135446352,0.0,0.0
2016.08.05,1.31048,1.31746,1.30206,1.30619,76.85526093687227,0.0,0.0
2016.08.08,1.30778,1.30958,1.30273,1.30387,75.7326305302264,0.0,0.0
2016.08.09,1.30388,1.30459,1.29551,1.30008,68.14643363175556,0.0,0.0
2016.08.10,1.30008,1.30936,1.29902,1.30066,66.9860270422243,0.0,0.0
