day,symbol_name,profit,volume,PnL/Lot
5/18/2021,EURUSD,-730229.03,14608.68,-49.9859692
5/19/2021,EURUSD,-125638.69,14855.98,-8.457112229
5/20/2021,EURUSD,-47973.43,10264.7,-4.673632152
5/21/2021,EURUSD,61600.16,12546.52,4.909740458
5/24/2021,EURUSD,98754.98,10169.69,9.710717042
5/25/2021,EURUSD,-341828.52,14717.48,-23.22602245
5/26/2021,EURUSD,-96028.68,12956.58,-7.411576005
5/27/2021,EURUSD,83619.56,12597.71,6.637679066
5/28/2021,EURUSD,-288042.52,14716.41,-19.57287971
5/31/2021,EURUSD,-112525.03,9147.63,-12.30100313
6/1/2021,EURUSD,41681.08,15695.48,2.655610283
6/2/2021,EURUSD,64656.82,14184.95,4.558127853
6/3/2021,EURUSD,-106261.21,13172.04,-8.06717933
6/4/2021,EURUSD,-72768.77,11570.13,-6.289364845
6/7/2021,EURUSD,40746.13,10298.88,3.956364911
6/8/2021,EURUSD,116414.75,10396.87,11.1970956
6/9/2021,EURUSD,31232.38,11241.1,2.778409256
6/10/2021,EURUSD,183305.03,13152.41,13.93699214
6/11/2021,EURUSD,-344345.03,13109.65,-26.26653146
6/14/2021,EURUSD,156742.55,11534.43,13.58910255
6/15/2021,EURUSD,94576.63,11260.99,8.398607093
6/16/2021,EURUSD,-843856.16,14049.7,-60.06221946
6/17/2021,EURUSD,-1948221.61,18127.76,-107.4717236
6/18/2021,EURUSD,-1065510.49,14159.67,-75.24966929
6/21/2021,EURUSD,-81622.2,10340.04,-7.893799405
6/22/2021,EURUSD,-100703.94,12091.64,-8.328393602
6/23/2021,EURUSD,90171.02,10515.75,8.574853642
6/24/2021,EURUSD,109917.49,8335.46,13.1867341
6/25/2021,EURUSD,74694.22,9059.19,8.24513184
6/28/2021,EURUSD,157752.34,10943.97,14.41454469
6/29/2021,EURUSD,-86388.44,10296.94,-8.389719713
6/30/2021,EURUSD,-39406.51,12939.98,-3.045329914
7/1/2021,EURUSD,-86835.21,11678.36,-7.435565826
7/2/2021,EURUSD,-182547.38,12182.99,-14.98379133
7/5/2021,EURUSD,97332.07,8489.55,11.46492657
7/6/2021,EURUSD,-116366.52,14817.79,-7.853163265
7/7/2021,EURUSD,-125396.42,20320.14,-6.171041185
7/8/2021,EURUSD,78545.87,14044.25,5.592742438
7/9/2021,EURUSD,-135073.75,11104.46,-12.16391866
7/12/2021,EURUSD,154893.7,11235.2,13.78646573
7/13/2021,EURUSD,-57554.31,16097.46,-3.575365819
7/14/2021,EURUSD,167688.32,11297.66,14.84274824
7/15/2021,EURUSD,105651.23,13583.89,7.777686109
7/16/2021,EURUSD,141295.14,11214.25,12.59960639
7/19/2021,EURUSD,-314387.92,13209.1,-23.80085827
7/20/2021,EURUSD,-44260.47,12616.41,-3.508166646
7/21/2021,EURUSD,121439.58,11221.9,10.82165929
7/22/2021,EURUSD,210962.06,14600.72,14.4487436
7/23/2021,EURUSD,167195.97,11174.48,14.96230442
7/26/2021,EURUSD,228673.89,12112.16,18.87969518
7/27/2021,EURUSD,167601.15,14200.84,11.80219968
7/28/2021,EURUSD,285389.59,15792.09,18.07167986
7/29/2021,EURUSD,-304206.01,9999.24,-30.42291278
7/30/2021,EURUSD,-99111.57,13431.21,-7.379199101
8/2/2021,EURUSD,226487.25,12560.67,18.0314625
8/3/2021,EURUSD,156746.21,13911.03,11.26776459
8/4/2021,EURUSD,287915.1,17545.34,16.40977595
8/5/2021,EURUSD,281509.08,14074.9,20.00078695
8/6/2021,EURUSD,-1069213.86,15448.66,-69.21078361
8/9/2021,EURUSD,-152680.67,14416.98,-10.5903366
8/10/2021,EURUSD,-570296.21,13490.22,-42.27478926
8/11/2021,EURUSD,-40489.63,14732.47,-2.748325836
8/12/2021,EURUSD,40530.25,10753.32,3.769091321
8/13/2021,EURUSD,-104053.98,11274.44,-9.229192605
8/16/2021,EURUSD,51567.28,9520.44,5.416480729
8/17/2021,EURUSD,-418568.09,13219.24,-31.6635521
8/18/2021,EURUSD,-46775.38,13964.15,-3.34967596
8/19/2021,EURUSD,-497932.62,10973.9,-45.37426216
8/20/2021,EURUSD,54331.55,11128.89,4.882028133
8/23/2021,EURUSD,8428.98,11259.17,0.74863226
8/24/2021,EURUSD,30997.52,10832.09,2.861638221
8/25/2021,EURUSD,80285.02,13244.14,6.061927985
8/26/2021,EURUSD,121267.04,11912.3,10.17998516
8/27/2021,EURUSD,200808.77,14442.19,13.90431561
8/30/2021,EURUSD,88813.94,11613.24,7.647645478
8/31/2021,EURUSD,-79917.7,17053.33,-4.686339937
9/1/2021,EURUSD,-38853.35,15707.94,-2.473484699
9/2/2021,EURUSD,-158145.81,12291.7,-12.86606505
9/3/2021,EURUSD,-454886.25,15094.39,-30.13611355
9/6/2021,EURUSD,-14793.35,8704.59,-1.699488322
9/7/2021,EURUSD,105380.14,18400.45,5.72704127
9/8/2021,EURUSD,-28149.86,15190.78,-1.853088379
9/9/2021,EURUSD,143455.13,15295.57,9.378867855
9/10/2021,EURUSD,80444.74,11963.27,6.724310013
9/13/2021,EURUSD,-154048.72,16094.38,-9.571584365
9/14/2021,EURUSD,141271.86,15402.8,9.171829974
9/15/2021,EURUSD,201030.42,14645.52,13.72641064
9/16/2021,EURUSD,-464430.14,16546.76,-28.06773917
9/17/2021,EURUSD,-117992.34,16441.68,-7.176416184
9/20/2021,EURUSD,-236559.64,12025.98,-19.67071657
9/21/2021,EURUSD,70944.94,13681.22,5.185571395
9/22/2021,EURUSD,-132490.31,17871.67,-7.413426609
9/23/2021,EURUSD,293808.56,16055.35,18.29972915
9/24/2021,EURUSD,54725.96,10541.94,5.191260349
9/27/2021,EURUSD,114913.06,14500.94,7.924524704
9/28/2021,EURUSD,-60098.37,18137.5,-3.313486771
9/29/2021,EURUSD,-2061412.54,20535.6,-100.3823865
9/30/2021,EURUSD,-689578.57,17308.48,-39.8405041
10/1/2021,EURUSD,72515.51,12284.48,5.903018524
10/4/2021,EURUSD,99632.69,14309.28,6.962802179
10/5/2021,EURUSD,-43753.72,14322.78,-3.054834558
10/6/2021,EURUSD,-545969.42,17010.15,-32.09668447
10/7/2021,EURUSD,31306.72,12708.84,2.463381603
10/8/2021,EURUSD,-15179.16,13409.9,-1.131937206
10/11/2021,EURUSD,-74543.51,11725.06,-6.357622728
10/12/2021,EURUSD,-139236.9,12202.32,-11.41069061
10/13/2021,EURUSD,92974.86,13852.8,6.71162943
10/14/2021,EURUSD,-172492.07,10335.44,-16.68937885
10/15/2021,EURUSD,-17667.76,9583.52,-1.843556169
10/18/2021,EURUSD,18526.34,11055.39,1.675774835
10/19/2021,EURUSD,-228447.92,12143.5,-18.81236181
10/20/2021,EURUSD,4005.39,9751.68,0.410738009
10/21/2021,EURUSD,-6458.58,10908.05,-0.592092802
10/22/2021,EURUSD,66230.33,11026.29,6.006583791
10/25/2021,EURUSD,-32246.85,13816.85,-2.333878434
10/26/2021,EURUSD,54518.96,12326.35,4.422960624
10/27/2021,EURUSD,165866.87,13791.31,12.02691163
10/28/2021,EURUSD,40349.38,20609.16,1.957837334
10/29/2021,EURUSD,-545451.56,18825.44,-28.97417301
11/1/2021,EURUSD,79314.43,13372.77,5.931039465
11/2/2021,EURUSD,110112.55,13110.28,8.398947037
11/3/2021,EURUSD,114874.44,15805.7,7.267911976
11/4/2021,EURUSD,-188116.4,15824.29,-11.88782591
11/5/2021,EURUSD,33887.47,14995.19,2.25988967
11/8/2021,EURUSD,136077.29,13636.32,9.979033215
11/9/2021,EURUSD,154598.87,16589.86,9.318877058
11/10/2021,EURUSD,-489671.46,24125.53,-20.29681666
11/11/2021,EURUSD,-648943.15,17272.97,-37.56986477
11/12/2021,EURUSD,-31497.99,16468.38,-1.91263444
11/15/2021,EURUSD,-2219042.28,22842.07,-97.14716219
11/16/2021,EURUSD,-928110.07,19375.15,-47.90208411
11/17/2021,EURUSD,-1476216.28,18318,-80.58828907
11/18/2021,EURUSD,-36160.72,15075.69,-2.398610943
11/19/2021,EURUSD,-439256.66,19775.86,-22.21176019
11/22/2021,EURUSD,-241069.57,18392.85,-13.1066999
11/23/2021,EURUSD,-139756.78,16402.94,-8.52022757
11/24/2021,EURUSD,-486420.99,20129.76,-24.16427159
11/25/2021,EURUSD,81467.75,13839.37,5.886666276
11/26/2021,EURUSD,-252996.85,24887.54,-10.16560286
11/29/2021,EURUSD,25375.11,17230.18,1.472712942
11/30/2021,EURUSD,-168570.51,26669.44,-6.320736817
12/1/2021,EURUSD,79910.21,16738.24,4.774110494
12/2/2021,EURUSD,88374.86,15386.66,5.743602272
12/3/2021,EURUSD,168295.11,19098.61,8.811903631
12/6/2021,EURUSD,167272.01,17023.63,9.825872214
12/7/2021,EURUSD,-158094.32,20692.97,-7.64000163
12/8/2021,EURUSD,-111068.1,21570.2,-5.149145523
12/9/2021,EURUSD,151235.33,18436.79,8.202910152
12/10/2021,EURUSD,531437.79,20369.58,26.08977653
12/13/2021,EURUSD,173233.08,21168.99,8.183341761
12/14/2021,EURUSD,212850.14,20329.24,10.47014739
12/15/2021,EURUSD,238109.44,21324.92,11.16578344
12/16/2021,EURUSD,209993.01,19774.84,10.61920157
12/17/2021,EURUSD,30180.6,19001.77,1.588304855
12/20/2021,EURUSD,437697.73,21268.18,20.57993359
12/21/2021,EURUSD,242742.22,21280.91,11.40657138
12/22/2021,EURUSD,-129469.27,20814.82,-6.220052209
12/23/2021,EURUSD,122470.98,20053.88,6.107096636
12/24/2021,EURUSD,20706.51,7106.22,2.913856752
12/27/2021,EURUSD,176614.51,16340.27,10.8085431
12/28/2021,EURUSD,298207.92,22048.55,13.5250579
12/29/2021,EURUSD,-153347.08,23380.37,-6.558796215
12/30/2021,EURUSD,657032.87,26633.92,24.66902624
12/31/2021,EURUSD,-123412.34,22746.18,-5.425629473
1/3/2022,EURUSD,308564.27,31976.29,9.649783282
1/4/2022,EURUSD,-107535.29,26792.46,-4.013640026
1/5/2022,EURUSD,-171551.33,27980.96,-6.13100242
1/6/2022,EURUSD,424588.89,27409.23,15.49072655
1/7/2022,EURUSD,-2654.74,27298.32,-0.097249265
1/10/2022,EURUSD,695613.25,32660.29,21.29844082
1/11/2022,EURUSD,319280.46,29766.04,10.72633306
1/12/2022,EURUSD,-1882662.79,31643.15,-59.49669337
1/13/2022,EURUSD,-1101425.6,27265.01,-40.39703631
1/14/2022,EURUSD,-183531.56,28644.02,-6.407325445
1/17/2022,EURUSD,120680.46,22288.82,5.414394215
1/18/2022,EURUSD,-602843.98,34014.99,-17.72289146
1/19/2022,EURUSD,-35799.47,21697.73,-1.649917738
1/20/2022,EURUSD,-591643.04,25825.57,-22.90919575
1/21/2022,EURUSD,108937.48,22183.9,4.910655128
1/24/2022,EURUSD,272157.44,29860.38,9.114332752
1/25/2022,EURUSD,70539.06,30351.66,2.324059432
1/26/2022,EURUSD,27024.92,30662.34,0.881371746
1/27/2022,EURUSD,-3185264.92,33854.67,-94.08642651
1/28/2022,EURUSD,-306360.81,28261.52,-10.84021009
1/31/2022,EURUSD,-7268.32,30997.09,-0.234484048
2/1/2022,EURUSD,107320.17,26499.78,4.049851228
2/2/2022,EURUSD,132865.39,28749.78,4.621440262
2/3/2022,EURUSD,-1815967.83,38374.07,-47.32278418
2/4/2022,EURUSD,-460250.65,26689.29,-17.24476942
2/7/2022,EURUSD,251460.8,24600.38,10.22182578
2/8/2022,EURUSD,214976.61,24598.93,8.73926658
2/9/2022,EURUSD,82485.9,23203.09,3.554953438
2/10/2022,EURUSD,261221.18,36176.44,7.220754134
2/11/2022,EURUSD,86886.04,30713.41,2.828928614
2/14/2022,EURUSD,271357.75,30199.84,8.985403484
2/15/2022,EURUSD,17183.05,22691.23,0.757255062
2/16/2022,EURUSD,-72653.97,22652.03,-3.207393245
2/17/2022,EURUSD,534773.8,23497.71,22.75854984
2/18/2022,EURUSD,64600.67,20785.64,3.107947223
2/21/2022,EURUSD,332704.29,25540.67,13.02645119
2/22/2022,EURUSD,539665.93,30162.1,17.89218686
2/23/2022,EURUSD,388490.93,24114.35,16.11036283
2/24/2022,EURUSD,-3639909.66,44059.44,-82.61361613
2/25/2022,EURUSD,-35607.75,23373,-1.523456578
2/28/2022,EURUSD,444225.99,26726.13,16.62141082
3/1/2022,EURUSD,-645079.19,27675.54,-23.30863982
3/2/2022,EURUSD,-418468.41,25978.31,-16.1083768
3/3/2022,EURUSD,-203836.23,21509.84,-9.476417839
3/4/2022,EURUSD,-3446254.42,31433.3,-109.6370542
3/7/2022,EURUSD,-1292319.65,33146.21,-38.98845887
3/8/2022,EURUSD,-576743.44,23790.67,-24.24242114
3/9/2022,EURUSD,-558310.44,24031.25,-23.23268428
3/10/2022,EURUSD,-120014.58,20509.06,-5.851783528
3/11/2022,EURUSD,-184892.53,18035.64,-10.25150898
3/14/2022,EURUSD,-69082.65,18215.41,-3.792538621
3/15/2022,EURUSD,-38714.87,18931.15,-2.045035214
3/16/2022,EURUSD,196870.83,21613.92,9.108520276
3/17/2022,EURUSD,-222889.08,18956.03,-11.75821499
3/18/2022,EURUSD,-64880.81,18424.87,-3.521371467
3/21/2022,EURUSD,97983.98,16908.25,5.795039669
