date,symbol,volume,profit,PnL_per_lot,hour,day
2020-01-17 00:00:00,USDJPY,22.12,-2518.25,-113.84,00:00:00,2020-01-17
2020-01-17 00:00:00,XAUUSD,15.44,48.2,3.12,00:00:00,2020-01-17
2020-01-17 04:00:00,EURUSD,53.86,-1531.82,-28.44,04:00:00,2020-01-17
2020-01-17 04:00:00,GBPUSD,12.27,303.39,24.73,04:00:00,2020-01-17
2020-01-17 04:00:00,USDJPY,4.13,-286.87,-69.46,04:00:00,2020-01-17
2020-01-17 04:00:00,XAUUSD,24.16,-458.39,-18.97,04:00:00,2020-01-17
2020-01-17 08:00:00,EURUSD,65.8,288.23,4.38,08:00:00,2020-01-17
2020-01-17 08:00:00,GBPUSD,161.78,2555.51,15.8,08:00:00,2020-01-17
2020-01-17 08:00:00,USDJPY,7.41,-229.92,-31.03,08:00:00,2020-01-17
2020-01-17 08:00:00,XAUUSD,29.54,219.59,7.43,08:00:00,2020-01-17
2020-01-17 12:00:00,EURUSD,226.6,-5322.08,-23.49,12:00:00,2020-01-17
2020-01-17 12:00:00,GBPUSD,182.73,4738.65,25.93,12:00:00,2020-01-17
2020-01-17 12:00:00,USDJPY,7.39,1.64,0.22,12:00:00,2020-01-17
2020-01-17 12:00:00,XAUUSD,105.78,-9028.77,-85.35,12:00:00,2020-01-17
2020-01-17 16:00:00,EURUSD,85.35,-977.82,-11.46,16:00:00,2020-01-17
2020-01-17 16:00:00,GBPUSD,31.17,269.89,8.66,16:00:00,2020-01-17
2020-01-17 16:00:00,USDJPY,16.34,-1299.69,-79.54,16:00:00,2020-01-17
2020-01-17 16:00:00,XAUUSD,29.42,193.99,6.59,16:00:00,2020-01-17
2020-01-17 20:00:00,EURUSD,11.72,519.73,44.35,20:00:00,2020-01-17
2020-01-17 20:00:00,GBPUSD,17.85,-653.78,-36.63,20:00:00,2020-01-17
2020-01-17 20:00:00,USDJPY,2.41,-55.43,-23,20:00:00,2020-01-17
2020-01-17 20:00:00,XAUUSD,49.55,-220.61,-4.45,20:00:00,2020-01-17
2020-01-20 00:00:00,EURUSD,38.53,369.44,9.59,00:00:00,2020-01-20
2020-01-20 00:00:00,GBPUSD,9.61,213.99,22.27,00:00:00,2020-01-20
2020-01-20 00:00:00,USDJPY,12.68,21.24,1.68,00:00:00,2020-01-20
2020-01-20 00:00:00,XAUUSD,14.4,215.49,14.96,00:00:00,2020-01-20
2020-01-20 04:00:00,EURUSD,16.96,-507.33,-29.91,04:00:00,2020-01-20
2020-01-20 04:00:00,GBPUSD,3.69,-102.75,-27.85,04:00:00,2020-01-20
2020-01-20 04:00:00,USDJPY,1.58,-6.48,-4.1,04:00:00,2020-01-20
2020-01-20 04:00:00,XAUUSD,46.72,-1892.12,-40.5,04:00:00,2020-01-20
2020-01-20 08:00:00,EURUSD,283.87,-450.75,-1.59,08:00:00,2020-01-20
2020-01-20 08:00:00,GBPUSD,135.36,-4833.89,-35.71,08:00:00,2020-01-20
2020-01-20 08:00:00,USDJPY,8.25,-139.67,-16.93,08:00:00,2020-01-20
2020-01-20 08:00:00,XAUUSD,53.91,1628.67,30.21,08:00:00,2020-01-20
