date,open,high,low,close,trend
2016.01.15,1.44101,1.44275,1.42512,1.4256,1
2016.01.18,1.42523,1.43228,1.42362,1.42422,1
2016.01.19,1.42423,1.43393,1.41289,1.41533,1
2016.01.20,1.41534,1.42189,1.41251,1.41872,1
2016.01.21,1.41873,1.42485,1.40783,1.42193,1
2016.01.22,1.42192,1.43621,1.42041,1.42622,1
2016.01.25,1.4263,1.43094,1.42235,1.42459,1
2016.01.26,1.42467,1.43666,1.41727,1.43491,1
2016.01.27,1.43491,1.43549,1.42293,1.4232,1
2016.01.28,1.42317,1.44072,1.42313,1.43573,0
2016.01.29,1.43558,1.44127,1.4149,1.42424,0
2016.02.01,1.42467,1.44446,1.42276,1.44297,0
2016.02.02,1.44297,1.44455,1.43253,1.44066,0
2016.02.03,1.44066,1.46487,1.43831,1.45996,0
2016.02.04,1.4593,1.46686,1.45289,1.4585,0
2016.02.05,1.45844,1.45905,1.44514,1.44978,0
2016.02.08,1.44929,1.45464,1.43498,1.44284,0
2016.02.09,1.44286,1.45151,1.43778,1.44672,0
2016.02.10,1.44675,1.45778,1.44312,1.45209,0
2016.02.11,1.45211,1.45632,1.43819,1.44731,0
2016.02.12,1.44717,1.45699,1.44427,1.44979,0
2016.02.15,1.45038,1.45351,1.44122,1.44298,0
2016.02.16,1.44291,1.45153,1.42759,1.43016,0
2016.02.17,1.43016,1.43389,1.42345,1.42864,0
2016.02.18,1.42858,1.43941,1.4256,1.43293,0
2016.02.19,1.43339,1.43954,1.42462,1.43907,0
2016.02.22,1.42745,1.43056,1.4057,1.41488,1
2016.02.23,1.41489,1.41558,1.40073,1.40192,1
2016.02.24,1.40191,1.40266,1.38781,1.39245,1
2016.02.25,1.39223,1.39961,1.38992,1.39574,1
2016.02.26,1.39575,1.40421,1.38533,1.38725,1
2016.02.29,1.38527,1.3946,1.38352,1.39114,1
2016.03.01,1.39112,1.40177,1.39032,1.39504,1
2016.03.02,1.39512,1.40924,1.39143,1.40749,1
2016.03.03,1.40758,1.41938,1.40316,1.41722,1
2016.03.04,1.41714,1.4248,1.41067,1.42227,1
2016.03.07,1.42148,1.42833,1.41332,1.42588,1
2016.03.08,1.42594,1.42752,1.41731,1.4211,1
2016.03.09,1.4211,1.42409,1.4177,1.42102,1
2016.03.10,1.42102,1.43165,1.41174,1.42763,1
2016.03.11,1.42775,1.44359,1.42538,1.43756,1
2016.03.14,1.43714,1.43889,1.42922,1.42983,1
2016.03.15,1.42989,1.43049,1.41383,1.41508,0
2016.03.16,1.41514,1.4273,1.40524,1.42502,0
2016.03.17,1.42493,1.45027,1.42211,1.44717,0
2016.03.18,1.44722,1.45141,1.44103,1.4476,0
2016.03.21,1.44555,1.44673,1.43648,1.43664,0
2016.03.22,1.43666,1.43971,1.41904,1.42112,0
2016.03.23,1.42112,1.4228,1.40811,1.41161,0
2016.03.24,1.4116,1.41825,1.40564,1.41516,0
2016.03.25,1.41516,1.41558,1.41077,1.41296,0
2016.03.28,1.41262,1.42826,1.41193,1.42533,0
2016.03.29,1.42529,1.44033,1.41944,1.43802,0
2016.03.30,1.43751,1.44587,1.43606,1.4376,0
2016.03.31,1.43754,1.44258,1.43254,1.4358,0
2016.04.01,1.436,1.43708,1.41703,1.42207,0
2016.04.04,1.42186,1.43213,1.41902,1.4262,0
2016.04.05,1.42563,1.42783,1.41209,1.41587,0
2016.04.06,1.41586,1.41709,1.40048,1.41205,1
2016.04.07,1.41198,1.41567,1.40485,1.40557,1
2016.04.08,1.40556,1.41403,1.404,1.41201,1
2016.04.11,1.41132,1.42863,1.41056,1.42347,1
2016.04.12,1.42337,1.43478,1.41963,1.42733,1
2016.04.13,1.4272,1.42791,1.4192,1.42014,1
2016.04.14,1.42013,1.42063,1.40898,1.41513,1
2016.04.15,1.41508,1.42409,1.41323,1.4199,1
2016.04.18,1.41947,1.42902,1.41303,1.42751,1
2016.04.19,1.42748,1.44185,1.427,1.43932,1
2016.04.20,1.43937,1.44099,1.43275,1.43275,1
2016.04.21,1.43288,1.44398,1.42986,1.43205,1
2016.04.22,1.43206,1.44512,1.43096,1.43997,1
2016.04.25,1.44608,1.45191,1.44022,1.44789,1
2016.04.26,1.44788,1.46384,1.44771,1.45787,1
2016.04.27,1.45782,1.46207,1.44724,1.45394,1
2016.04.28,1.45395,1.46223,1.45219,1.46054,1
2016.04.29,1.46006,1.46698,1.45759,1.46068,1
2016.05.02,1.45808,1.46958,1.45804,1.4672,1
2016.05.03,1.4671,1.47696,1.45285,1.4534,1
