day,symbol_name,profit,volume,PnL/Lot,Coef,
2/27/2020,EURUSD,2889.20,5134.85,0.562665495,-0.005489241,
2/28/2020,EURUSD,-173766.48,4140.03,-41.97227634,-0.006197384,
3/2/2020,EURUSD,-41347.53,4833.54,-8.554295969,-0.008171404,
3/3/2020,EURUSD,-325868.92,3838.45,-84.89596597,-0.004798227,
3/4/2020,EURUSD,-23358.64,3491.37,-6.690394409,0.000401306,
3/5/2020,EURUSD,-85493.52,4678.19,-18.27491354,-0.003285748,
3/6/2020,EURUSD,-187520.83,4743.42,-39.53283364,-0.00792,
3/9/2020,EURUSD,-59295.15,4117.72,-14.3999947,-0.011794843,
3/10/2020,EURUSD,-15834.25,3722.94,-4.253158143,0.003467831,
3/11/2020,EURUSD,-8023.17,3906.22,-2.05394632,0.006607847,
3/12/2020,EURUSD,71721.90,5161.53,13.89547379,0.007730172,
3/13/2020,EURUSD,-84799.53,3627.03,-23.3798809,0.006036383,
3/16/2020,EURUSD,35112.86,3806.87,9.223552368,-0.003156635,
3/17/2020,EURUSD,-104624.95,3637.1,-28.76603583,0.008065942,
3/18/2020,EURUSD,-935.75,4017.41,-0.232923321,0.012632752,
3/19/2020,EURUSD,-35385.67,4580.29,-7.725640516,0.0127,
3/20/2020,EURUSD,-9907.50,3382.76,-2.928822644,0.008815538,
3/23/2020,EURUSD,41069.02,4149,9.898535531,-0.001148811,
3/24/2020,EURUSD,19570.01,3892.54,5.027567013,-0.005417937,
3/25/2020,EURUSD,3857.34,4920.45,0.783940338,-0.004583793,
3/26/2020,EURUSD,-57764.91,5834.06,-9.901322844,-0.012109177,
3/27/2020,EURUSD,-157202.71,6352.9,-24.74503113,-0.009805979,
3/30/2020,EURUSD,-57194.26,5793.67,-9.871854108,-0.001242651,
3/31/2020,EURUSD,-54564.73,6908.73,-7.897939978,0.005984403,
4/1/2020,EURUSD,7331.05,6189.18,1.184493794,0.0026084,
4/2/2020,EURUSD,-93312.22,7583.08,-12.3053198,0.007476938,
4/3/2020,EURUSD,-20318.35,6613.34,-3.072327737,0.007145707,
4/6/2020,EURUSD,37186.81,6121.77,6.074518993,0.002067213,
4/7/2020,EURUSD,-89707.43,6128.54,-14.63765142,-0.004286491,
4/8/2020,EURUSD,-19387.54,5089.92,-3.809005986,-0.00195664,
4/9/2020,EURUSD,-25413.55,6853.41,-3.70816184,-0.002270239,
4/10/2020,EURUSD,7834.36,1299.74,6.027637583,-0.003589272,
4/13/2020,EURUSD,-74764.34,5486.19,-13.62773476,0.000320141,
4/14/2020,EURUSD,19499.76,6312.09,3.089270984,-0.001317574,
4/15/2020,EURUSD,-116404.88,7258.11,-16.03790488,0.000870374,
4/16/2020,EURUSD,-8436.26,7273.72,-1.159827503,0.006001893,
4/17/2020,EURUSD,2570.19,7618.68,0.337354071,0.001419249,
4/20/2020,EURUSD,9642.51,7607.78,1.267453845,-0.0012,
4/21/2020,EURUSD,-11144.18,7712.71,-1.444911691,0.001138874,
4/22/2020,EURUSD,-33632.99,8909.04,-3.775153592,0.001045734,
4/23/2020,EURUSD,14875.54,10286.96,1.446058146,0.003972875,
4/24/2020,EURUSD,-63743.67,8573.82,-7.434687239,0.000990814,
4/27/2020,EURUSD,-17693.65,7238.03,-2.44454013,-0.00386291,
4/28/2020,EURUSD,-7338.45,8266.25,-0.887760437,-0.000533232,
4/29/2020,EURUSD,47231.91,7553.46,6.253016692,-0.001165103,
4/30/2020,EURUSD,-64652.30,9853.8,-6.561154255,-0.005387804,
