day,symbol,spread
2022-08-02,USDJPY.fix,0.030000000000001137
2022-08-31,USDJPY.fix,0.030000000000001137
2022-09-01,XAUUSD.fix,0.79999999999995453
2022-09-26,GBPJPY.fix,0.0800000000000125
2022-09-27,USDCHF.fix,0.00039999999999995595
2022-09-29,GBPJPY.fix,0.0800000000000125
2022-10-11,GBPJPY.fix,0.0800000000000125
2022-10-20,XAUUSD.fix,0.79999999999995453
2022-11-02,EURUSD.fix,0.00019999999999997797
2022-11-10,EURGBP.fix,0.00029999999999996696
2022-11-21,EURUSD.fix,0.00019999999999997797
2022-12-05,GBPUSD.fix,0.00029999999999996696
2022-12-15,USDCAD.fix,0.00039999999999995595
2022-12-15,USDCHF.fix,0.00039999999999995595
2022-08-02,EURJPY.fix,0.039999999999992042
2022-08-14,AUDUSD.fix,0.00039999999999995595
2022-08-21,USDCAD.fix,0.00039999999999995595
2022-09-11,XAUUSD.fix,0.79999999999995453
2022-09-21,EURJPY.fix,0.039999999999992042
2022-09-28,GBPJPY.fix,0.0800000000000125
2022-09-30,XAGUSD.fix,0.059999999999998721
2022-10-03,XAGUSD.fix,0.059999999999998721
2022-10-20,USDJPY.fix,0.030000000000001137
2022-10-27,XAUUSD.fix,0.79999999999995453
2022-11-04,NZDUSD.fix,0.00039999999999995595
2022-12-05,XAGUSD.fix,0.059999999999998721
2022-12-09,USDCHF.fix,0.00039999999999995595
2022-12-12,GBPUSD.fix,0.00029999999999996696
2022-12-21,EURJPY.fix,0.039999999999992042
2023-01-23,XRPUSD.test,0.0010200000000000209
2023-02-21,XRPUSD.test,0.0010200000000000209
2022-08-15,AUDUSD.fix,0.00039999999999995595
2022-08-19,AUDUSD.fix,0.00039999999999995595
2022-08-22,USDCHF.fix,0.00039999999999995595
2022-08-24,EURGBP.fix,0.00029999999999996696
2022-09-02,USDJPY.fix,0.030000000000001137
2022-09-04,USDCHF.fix,0.00039999999999995595
2022-09-07,EURUSD.fix,0.00019999999999997797
2022-10-02,EURJPY.fix,0.039999999999992042
2022-10-09,GBPUSD.fix,0.00029999999999996696
2022-10-09,XAGUSD.fix,0.059999999999998721
2022-10-16,USDCAD.fix,0.00039999999999995595
2022-10-17,EURGBP.fix,0.00029999999999996696
2022-11-09,USDCAD.fix,0.00039999999999995595
2022-11-21,USDCHF.fix,0.00039999999999995595
2022-12-02,EURUSD.fix,0.00019999999999997797
2022-08-25,USDJPY.fix,0.030000000000001137
2022-08-28,EURGBP.fix,0.00029999999999996696
2022-10-13,XAUUSD.fix,0.79999999999995453
2022-10-25,XAGUSD.fix,0.059999999999998721
2022-10-28,XAGUSD.fix,0.059999999999998721
2022-11-02,EURJPY.fix,0.039999999999992042
2022-11-06,NZDUSD.fix,0.00039999999999995595
2022-11-14,EURGBP.fix,0.00029999999999996696
2022-11-18,GBPUSD.fix,0.00029999999999996696
2022-11-18,USDJPY.fix,0.030000000000001137
2022-11-20,NZDUSD.fix,0.00039999999999995595
2022-11-20,USDCAD.fix,0.00039999999999995595
2022-11-23,GBPUSD.fix,0.00029999999999996696
2022-11-29,XAUUSD.fix,0.79999999999995453
