day,symbol_name,profit,volume,PnL/Lot,Coef
6/16/2020,GBPUSD,-93213.13687,3552.64,-26.23771,-0.00161
6/17/2020,GBPUSD,-12051.81394,3666.03,-3.287429,-0.00059
6/18/2020,GBPUSD,14126.71156,3176.26,4.447593,0.000211
6/19/2020,GBPUSD,-27025.0134,3930.61,-6.875527,-0.00043
6/22/2020,GBPUSD,-71430.21844,3383.96,-21.10847,-0.00051
6/23/2020,GBPUSD,-53890.20102,3855.26,-13.978357,-0.00096
6/24/2020,GBPUSD,-10734.06472,3977.99,-2.698364,-0.00077
6/25/2020,GBPUSD,39496.58823,5241.59,7.53523,0.00182
6/26/2020,GBPUSD,56547.81245,4830.72,11.705877,0.001122
6/29/2020,GBPUSD,-110054.4108,4326.27,-25.438637,0.000585
6/30/2020,GBPUSD,-251675.7685,5681.03,-44.301081,0.001031
7/1/2020,GBPUSD,-47340.77138,5486.84,-8.628058,-0.00023
7/2/2020,GBPUSD,-72819.69148,6055.04,-12.026294,-0.00041
7/3/2020,GBPUSD,-138572.9321,5221.24,-26.540234,-0.00082
7/6/2020,GBPUSD,-17241.96061,3349.21,-5.148068,-0.00147
7/7/2020,GBPUSD,-41677.49692,4672.02,-8.920659,-0.00029
7/8/2020,GBPUSD,-246984.9045,6197.44,-39.85273,-0.00097
7/9/2020,GBPUSD,25856.5605,5332.62,4.848754,0.000279
7/10/2020,GBPUSD,-110353.4844,5650.21,-19.530864,0.00093
7/13/2020,GBPUSD,57576.07743,4659.18,12.357556,-0.00074
7/14/2020,GBPUSD,43191.84972,5625.99,7.6772,0.000692
7/15/2020,GBPUSD,-78527.93989,5573.81,-14.088736,-5.89E-05
7/16/2020,GBPUSD,33131.31338,5363.9,6.176721,-0.00031
7/17/2020,GBPUSD,-114501.4063,6856.69,-16.699225,-0.00068
7/20/2020,GBPUSD,29057.93569,3945.36,7.365091,-0.00044
7/21/2020,GBPUSD,-139459.6844,5630.43,-24.768923,0.00072
7/22/2020,GBPUSD,-792685.7437,7095.97,-111.709286,0.000632
7/23/2020,GBPUSD,-46358.09042,5051.88,-9.176404,-0.00013
7/24/2020,GBPUSD,-14360.05375,4594.13,-3.12574,0.001599
7/27/2020,GBPUSD,-73165.07719,4304.26,-16.998294,0.001847
7/28/2020,GBPUSD,-280368.1989,4385.89,-63.925041,-4.85E-05
7/29/2020,GBPUSD,-184364.9001,4735.4,-38.933332,-0.00161
7/30/2020,GBPUSD,-110112.2629,5559.32,-19.806786,-0.00059
7/31/2020,GBPUSD,-155905.6291,5912.28,-26.369798,0.000211
8/3/2020,GBPUSD,-71208.53625,5384.92,-13.223694,-0.00043
8/4/2020,GBPUSD,-107910.0787,5722.06,-18.858607,-0.00051
8/5/2020,GBPUSD,-82971.91893,5989.35,-13.853243,-0.00096
8/6/2020,GBPUSD,-64525.83264,5361.87,-12.034203,-0.00077
8/7/2020,GBPUSD,37618.2948,5666.36,6.638882,0.00182
8/10/2020,GBPUSD,-66370.44084,4334.85,-15.310897,0.001122
8/11/2020,GBPUSD,-69796.96135,4644.37,-15.028295,0.000585
8/12/2020,GBPUSD,-72427.96295,4209.63,-17.205304,0.001031
8/13/2020,GBPUSD,30631.33841,3257.35,9.40376,-0.00023
8/14/2020,GBPUSD,-19617.75222,3286.95,-5.968376,-0.00041
8/17/2020,GBPUSD,-2951.362268,3030.25,-0.973967,-0.00082
