day,symbol_name,profit,volume,PnL/Lot,Coef
1/5/2021,USDJPY,-28649,1477.14,-19.395223,-1.20E-03
1/6/2021,USDJPY,18011,1356.05,13.28188,5.21E-05
1/7/2021,USDJPY,-29012,1186.83,-24.444897,-0.00054
1/8/2021,USDJPY,-41891,1316.74,-31.814499,-0.00095
1/11/2021,USDJPY,-37880,918.79,-41.228608,1.58E-05
1/12/2021,USDJPY,11691,846.21,13.815131,-0.00018
1/13/2021,USDJPY,7089,744.65,9.520035,0.000118
1/14/2021,USDJPY,6053,864.97,6.997713,0.000425
1/15/2021,USDJPY,4755,556.82,8.538843,0.000294
1/18/2021,USDJPY,-4335,437.89,-9.900552,2.72E-04
1/19/2021,USDJPY,10718,847.33,12.649108,0.000215
1/20/2021,USDJPY,-702,660.28,-1.062911,-0.00011
1/21/2021,USDJPY,15785,1011.91,15.598975,-0.00076
1/22/2021,USDJPY,-5275,679.81,-7.759296,-0.00107
1/25/2021,USDJPY,-5038,659.52,-7.638579,-0.00041
1/26/2021,USDJPY,-29,691.82,-0.042161,0.001077
1/27/2021,USDJPY,-5460,743.18,-7.347362,0.000837
1/28/2021,USDJPY,6524,1904.61,3.425555,-0.0002
1/29/2021,USDJPY,-101823,2601.7,-39.137173,0.000308
2/1/2021,USDJPY,-41262,1282.3,-32.178313,2.81E-07
2/2/2021,USDJPY,-43514,1818.18,-23.932909,-2.91E-05
2/3/2021,USDJPY,-5279,928.36,-5.685841,0.001132
2/4/2021,USDJPY,-377858,2224.58,-169.856075,-0.00033
2/5/2021,USDJPY,-20807,3536.95,-5.882626,-0.00015
2/8/2021,USDJPY,22600,2081.99,10.854956,0.001548
2/9/2021,USDJPY,76779,2586.3,29.686903,0.000133
2/10/2021,USDJPY,-12237,1411.58,-8.669191,0.000289
2/11/2021,USDJPY,14776,927,15.940037,0.001282
2/12/2021,USDJPY,57806,1274.2,45.36666,0.000759
2/15/2021,USDJPY,-15753,851.74,-18.495389,-0.0006
2/16/2021,USDJPY,-89060,1815.78,-49.047868,-0.00223
2/17/2021,USDJPY,-29544,1309.96,-22.553482,-1.20E-03
2/18/2021,USDJPY,24575,1358.22,18.093358,5.21E-05
2/19/2021,USDJPY,8925,1191.67,7.489654,-0.00054
2/22/2021,USDJPY,-59338,1544.85,-38.410187,-0.00095
2/23/2021,USDJPY,12724,1199.27,10.609853,1.58E-05
2/24/2021,USDJPY,-23495,1286.67,-18.260521,-0.00018
2/25/2021,USDJPY,-18774,1284.34,-14.617714,0.000118
2/26/2021,USDJPY,-42985,1425.52,-30.153918,0.000425
3/1/2021,USDJPY,-47218,1271.91,-37.123673,0.000294
3/2/2021,USDJPY,-4358,1353.25,-3.220541,2.72E-04
3/3/2021,USDJPY,-31488,1092.4,-28.824336,0.000215
3/4/2021,USDJPY,-218349,1960.47,-111.375959,-0.00011
3/5/2021,USDJPY,-266254,1975.24,-134.795542,-0.00076
3/8/2021,USDJPY,-198694,1505.77,-131.955233,-0.00107
3/9/2021,USDJPY,-105059,2126.64,-49.401317,-0.00041
3/10/2021,USDJPY,-5003,1978.36,-2.528778,0.001077
3/11/2021,USDJPY,16748,1977.64,8.468848,0.000837
3/12/2021,USDJPY,-18500,1816.79,-10.182699,-0.0002
3/15/2021,USDJPY,-41899,1522.08,-27.527352,2.81E-07
3/16/2021,USDJPY,-5291,1478.59,-3.578375,-2.91E-05
3/17/2021,USDJPY,-18586,1862.86,-9.977056,0.001132
3/18/2021,USDJPY,18716,1459.67,12.822178,-0.00033
3/19/2021,USDJPY,9997,1188.88,8.408606,-0.00015
3/22/2021,USDJPY,15398,1404.13,10.966475,0.000133
3/23/2021,USDJPY,1492,1139.44,1.309421,0.000289
3/24/2021,USDJPY,-11395,1169.35,-9.744931,0.001282
3/25/2021,USDJPY,-37720,1607.85,-23.46007,0.000759
3/26/2021,USDJPY,-169398,1933.17,-87.627281,-0.0006
3/29/2021,USDJPY,-34349,1667.38,-20.600544,-0.00223
3/30/2021,USDJPY,-234412,1932.66,-121.289568,-1.20E-03
3/31/2021,USDJPY,-162578,2608.79,-62.319328,5.21E-05
4/1/2021,USDJPY,-50502,1945.65,-25.956422,-0.00054
4/2/2021,USDJPY,217,2014.49,0.107702,-0.00095
4/5/2021,USDJPY,14167,2256.66,6.278078,1.58E-05
4/6/2021,USDJPY,83664,3198.95,26.153519,-0.00018
4/7/2021,USDJPY,-7548,1393.75,-5.415305,0.000118
4/8/2021,USDJPY,-26058,1463.3,-17.807683,0.000425
4/9/2021,USDJPY,-2629,1735.19,-1.515227,0.000294
4/12/2021,USDJPY,9122,1708.49,5.339406,2.72E-04
4/13/2021,USDJPY,18629,2612.62,7.130553,0.000215
4/14/2021,USDJPY,-37555,1306.06,-28.75441,-0.00011
4/15/2021,USDJPY,-35528,1013.03,-35.070812,-0.00076
4/16/2021,USDJPY,344,888.78,0.38705,-1.07E-03
4/19/2021,USDJPY,-303436,3193.51,-95.016551,-0.00041
4/20/2021,USDJPY,5676,2027.11,2.800028,0.001077
4/21/2021,USDJPY,-8976,1819.68,-4.932916,0.000837
4/22/2021,USDJPY,-19805,1825.45,-10.849621,-0.0002
4/23/2021,USDJPY,-43626,1334.8,-32.683263,0.000308
4/26/2021,USDJPY,49472,2178.4,22.710195,2.81E-07
