day,symbol_name,profit,volume,PnL/Lot,Coef
11/04/2020,XAUUSD,"333 765,08","8068,83",41.364743,"0,001116"
11/05/2020,XAUUSD,"-1 229 409,09","7728,74",-159.069795,"0,000465"
11/06/2020,XAUUSD,"-351 883,05","6029,84",-58.356946,"0,001534"
11/09/2020,XAUUSD,"-598 754,03","9527,26",-62.846404,"0,001046"
11/10/2020,XAUUSD,"5 023,03","4854,01",1.03482,"-0,00087"
11/11/2020,XAUUSD,"-105 314,87","4156,62",-25.33666,"-0,00171"
11/12/2020,XAUUSD,"53 672,83","4728,98",11.34977,"0,002204"
11/13/2020,XAUUSD,"-154 998,20","4746,26",-32.656912,"0,001856"
11/16/2020,XAUUSD,"-83 593,09","5995,88",-13.941754,"0,000331"
11/17/2020,XAUUSD,"97 086,10","4293,44",22.612661,"0,002434"
11/18/2020,XAUUSD,"-29 261,95","5468,27",-5.351227,"0,000449"
11/19/2020,XAUUSD,"-66 529,62","5381,29",-12.363136,"-0,00048"
11/20/2020,XAUUSD,"13 901,73","4664,54",2.980301,"-0,00141"
11/23/2020,XAUUSD,"-777 806,76","5995,41",-129.733706,"-0,00182"
11/24/2020,XAUUSD,"-1 420 044,30","6371,64",-222.869513,"-0,00088"
11/25/2020,XAUUSD,"-22 983,19","4088,07",-5.622015,"-0,00029"
11/26/2020,XAUUSD,"53 588,15","2909,35",18.419284,"4,33E-05"
11/27/2020,XAUUSD,"-1 430 698,95","5513,94",-259.469444,"0,001699"
11/30/2020,XAUUSD,"-360 915,81","5313,37",-67.925971,"0,001542"
12/01/2020,XAUUSD,"-817 475,17","5385,63",-151.788215,"0,001037"
12/02/2020,XAUUSD,"-371 089,56","4288,19",-86.537574,"-7,64E-05"
12/03/2020,XAUUSD,"-257 952,86","4171,81",-61.832361,"-0,00123"
12/04/2020,XAUUSD,"-108 295,34","3980,64",-27.20551,"0,000842"
12/07/2020,XAUUSD,"-406 155,32","5010,49",-81.060997,"0,00118"
12/08/2020,XAUUSD,"-136 265,03","3848,69",-35.405561,"4,10E-05"
12/09/2020,XAUUSD,"3 239,61","6257,35",0.517728,"-0,00178"
12/10/2020,XAUUSD,"12 889,52","5487,89",2.348721,"-0,00429"
12/11/2020,XAUUSD,"-60 282,72","4924,39",-12.241663,"-0,00046"
12/14/2020,XAUUSD,"-88 820,66","5720,73",-15.526107,"0,000389"
12/15/2020,XAUUSD,"-650 157,27","5646,87",-115.135866,"-0,00231"
12/16/2020,XAUUSD,"-257 970,06","6395,7",-40.334923,"-0,0006"
12/17/2020,XAUUSD,"-720 512,95","7147,76",-100.802622,"0,001116"
12/18/2020,XAUUSD,"16 776,43","5271,8",3.182297,"0,000465"
12/21/2020,XAUUSD,"-464 538,04","7769,98",-59.786259,"0,001534"
12/22/2020,XAUUSD,"-42 441,10","6122,15",-6.932384,"0,001046"
12/23/2020,XAUUSD,"16 683,78","5788,43",2.882263,"-0,00087"
12/24/2020,XAUUSD,"-6 221,27","4004,67",-1.553504,"-0,00171"
12/28/2020,XAUUSD,"23 154,26","6968,33",3.322785,"0,002204"
12/29/2020,XAUUSD,"227 748,05","5917,3",38.488508,"0,001856"
12/30/2020,XAUUSD,"114 100,03","5871,76",19.431998,"0,000331"
12/31/2020,XAUUSD,"112 423,69","6183,06",18.182532,"0,002434"
01/04/2021,XAUUSD,"-892 648,59","9059,73",-98.529271,"0,000449"
01/05/2021,XAUUSD,"89 556,85","9310,41",9.619002,"-0,00048"
01/06/2021,XAUUSD,"-433 524,42","13255,62",-32.704952,"-0,00141"
01/07/2021,XAUUSD,"172 859,93","7976,9",21.670064,"-0,00182"
01/08/2021,XAUUSD,"-1 932 441,69","12783,78",-151.163559,"-0,00088"
01/11/2021,XAUUSD,"-304 485,46","8544,8",-35.634006,"-0,00029"
01/12/2021,XAUUSD,"-118 603,26","8692,32",-13.644604,"4,33E-05"
01/13/2021,XAUUSD,"120 403,46","7736,99",15.562054,"0,001699"
01/14/2021,XAUUSD,"-2 619,63","8665,02",-0.302322,"0,001542"
01/15/2021,XAUUSD,"63 449,17","10663,79",5.949964,"0,001037"
01/18/2021,XAUUSD,"-20 251,55","9266,59",-2.185437,"-7,64E-05"
01/19/2021,XAUUSD,"157 684,87","11767,78",13.399713,"-0,00123"
01/20/2021,XAUUSD,"-620 909,30","15546,57",-39.938668,"0,000842"
01/21/2021,XAUUSD,"33 486,88","10042,9",3.334383,"0,00118"
01/22/2021,XAUUSD,"-200 699,48","12368,23",-16.227017,"4,10E-05"
01/25/2021,XAUUSD,"103 879,48","14085,28",7.375038,"-0,00178"
01/26/2021,XAUUSD,"288 254,51","11564,33",24.926175,"-0,00429"
01/27/2021,XAUUSD,"-16 618,34","12907,16",-1.287529,"-0,00046"
01/28/2021,XAUUSD,"-53 189,41",15668,-3.39478,"0,000389"
01/29/2021,XAUUSD,"62 804,28","15859,29",3.960094,"-0,00231"
02/01/2021,XAUUSD,"862 735,21","16734,88",51.553116,"-0,0006"
02/02/2021,XAUUSD,"-240 668,77","15304,6",-15.725257,"0,001116"
02/03/2021,XAUUSD,"206 190,05","10244,2",20.127491,"0,000465"
02/04/2021,XAUUSD,"-3 388 882,14","18403,29",-184.145451,"0,001534"
02/05/2021,XAUUSD,"-380 268,72","9447,32",-40.251491,"0,001046"
02/08/2021,XAUUSD,"-772 512,81","9986,67",-77.354395,"-0,00087"
02/09/2021,XAUUSD,"-417 304,44","9031,53",-46.205287,"-0,00171"
02/10/2021,XAUUSD,"-79 857,71","9910,06",-8.058247,"0,002204"
02/11/2021,XAUUSD,"-14 202,23","9478,06",-1.498432,"0,001856"
02/12/2021,XAUUSD,"-128 764,75","10379,09",-12.40617,"0,000331"
02/15/2021,XAUUSD,"128 979,12","6898,41",18.696935,"0,002434"
02/16/2021,XAUUSD,"-613 337,83","15845,83",-38.706577,"0,000449"
02/17/2021,XAUUSD,"-586 397,00","15070,2",-38.91103,"-0,00048"
02/18/2021,XAUUSD,"115 236,34","13679,86",8.423795,"-0,00141"
02/19/2021,XAUUSD,"-341 598,29","12917,44",-26.444736,"-0,00182"
02/22/2021,XAUUSD,"-1 105 360,51","11971,73",-92.330892,"-0,00088"
02/23/2021,XAUUSD,"36 120,80","10151,48",3.558181,"-0,00029"
02/24/2021,XAUUSD,"-177 981,41","12538,79",-14.194465,"4,33E-05"
02/25/2021,XAUUSD,"241 322,93","14784,16",16.323074,"0,001699"
02/26/2021,XAUUSD,"-2 962 408,21","15531,29",-190.738066,"0,001542"
03/01/2021,XAUUSD,"-35 863,42","12466,41",-2.876804,"0,001037"
03/02/2021,XAUUSD,"-1 489 753,45","13288,56",-112.107968,"-7,64E-05"
03/03/2021,XAUUSD,"-80 974,84","12401,06",-6.529671,"-0,00123"
03/04/2021,XAUUSD,"27 052,97","15425,03",1.753836,"0,000842"
03/05/2021,XAUUSD,"6 386,43","12879,57",0.495858,"0,00118"
03/08/2021,XAUUSD,"-953 913,66","15193,88",-62.782756,"4,10E-05"
03/09/2021,XAUUSD,"-1 158 098,65","13381,74",-86.543204,"-0,00178"
03/10/2021,XAUUSD,"-177 074,89","12335,36",-14.355065,"-0,00429"
03/11/2021,XAUUSD,"-379 223,34","15107,21",-25.102143,"-0,00046"
03/12/2021,XAUUSD,"-1 217 146,82","15671,3",-77.667253,"0,000389"
03/15/2021,XAUUSD,"48 556,32","11655,19",4.166069,"-0,00231"
03/16/2021,XAUUSD,"89 684,42","13594,82",6.596956,"-0,0006"
03/17/2021,XAUUSD,"75 263,45","16492,52",4.56349,"0,001116"
03/18/2021,XAUUSD,"-525 887,36","18148,5",-28.976905,"0,000465"
03/19/2021,XAUUSD,"198 653,26","13688,09",14.512855,"0,001534"
03/22/2021,XAUUSD,"814 543,52","17696,52",46.028458,"0,001046"
03/23/2021,XAUUSD,"217 670,22","17204,88",12.651656,"-0,00087"
03/24/2021,XAUUSD,"476 237,79","13566,02",35.105196,"-0,00171"
03/25/2021,XAUUSD,"958 446,81","21605,65",44.360934,"0,002204"
03/26/2021,XAUUSD,"819 737,68","15916,63",51.501963,"0,001856"
03/29/2021,XAUUSD,"-2 147 559,19","20716,83",-103.662538,"0,000331"
03/30/2021,XAUUSD,"-2 723 096,23","21072,31",-129.22628,"0,002434"
03/31/2021,XAUUSD,"-873 150,79","19244,96",-45.370361,"0,000449"
04/01/2021,XAUUSD,"-464 373,96","15153,85",-30.643959,"-0,00048"
04/05/2021,XAUUSD,"34 526,37","12469,68",2.768825,"-0,00141"
04/06/2021,XAUUSD,"-338 085,66","15010,39",-22.523443,"-0,00182"
04/07/2021,XAUUSD,"286 496,08","14890,46",19.240244,"-0,00088"
04/08/2021,XAUUSD,"-1 230 575,79","15300,39",-80.42774,"-0,00029"
04/09/2021,XAUUSD,"-499 923,81","15403,44",-32.455336,"4,33E-05"
04/12/2021,XAUUSD,"-10 299,02","15482,35",-0.66521,"0,001699"
