date,open,high,low,close,trend
2018.09.13,111.239,111.992,111.154,111.916,0
2018.09.14,111.883,112.164,111.749,112.054,1
2018.09.17,111.998,112.117,111.756,111.85,1
2018.09.18,111.825,112.385,111.659,112.356,1
2018.09.19,112.348,112.439,112.155,112.299,1
2018.09.20,112.245,112.579,112.037,112.488,1
2018.09.21,112.477,112.868,112.422,112.519,1
2018.09.24,112.41,112.833,112.389,112.805,1
2018.09.25,112.748,112.975,112.736,112.969,1
2018.09.26,112.963,113.13,112.627,112.734,1
2018.09.27,112.698,113.46,112.556,113.398,1
2018.09.28,113.348,113.706,113.303,113.672,1
2018.10.01,113.705,114.056,113.69,113.969,1
2018.10.02,113.911,114.011,113.523,113.676,1
2018.10.03,113.592,114.535,113.516,114.533,1
2018.10.04,114.448,114.542,113.628,113.935,1
2018.10.05,113.894,114.096,113.553,113.704,1
2018.10.08,113.747,113.936,112.813,113.228,1
2018.10.09,113.146,113.386,112.863,112.947,1
2018.10.10,112.967,113.28,112.249,112.25,0
2018.10.11,112.246,112.528,111.824,112.157,0
2018.10.12,112.111,112.49,111.872,112.2,0
2018.10.15,112.12,112.226,111.616,111.763,0
2018.10.16,111.751,112.33,111.723,112.24,0
2018.10.17,112.251,112.667,112.007,112.656,0
2018.10.18,112.665,112.721,111.932,112.181,0
2018.10.19,112.176,112.64,112.133,112.498,0
2018.10.22,112.57,112.877,112.341,112.815,0
2018.10.23,112.792,112.833,111.946,112.435,0
2018.10.24,112.422,112.734,112.081,112.242,0
2018.10.25,112.149,112.666,111.813,112.382,0
2018.10.26,112.414,112.435,111.368,111.872,0
2018.10.29,111.859,112.554,111.768,112.344,0
2018.10.30,112.362,113.136,112.296,113.103,0
2018.10.31,113.07,113.377,112.797,112.941,0
2018.11.01,112.929,112.994,112.597,112.644,0
2018.11.02,112.63,113.313,112.549,113.182,0
2018.11.05,113.145,113.33,113.067,113.187,0
2018.11.06,113.176,113.497,113.092,113.439,0
2018.11.07,113.402,113.81,112.939,113.545,0
2018.11.08,113.446,114.079,113.446,114.039,0
2018.11.09,114.011,114.058,113.631,113.76,0
2018.11.12,113.832,114.199,113.651,113.825,0
2018.11.13,113.817,114.136,113.572,113.794,0
2018.11.14,113.81,114,113.289,113.614,0
2018.11.15,113.533,113.699,113.09,113.612,0
2018.11.16,113.589,113.619,112.635,112.828,0
2018.11.19,112.745,112.867,112.412,112.54,0
2018.11.20,112.502,112.836,112.297,112.737,0
2018.11.21,112.696,113.139,112.636,113.036,0
2018.11.22,113.064,113.124,112.876,112.925,0
2018.11.23,112.944,113.001,112.652,112.884,0
2018.11.26,112.89,113.644,112.867,113.593,0
2018.11.27,113.547,113.835,113.407,113.764,0
2018.11.28,113.764,114.028,113.425,113.676,0
2018.11.29,113.686,113.686,113.18,113.466,0
2018.11.30,113.469,113.714,113.291,113.442,0
2018.12.03,113.58,113.814,113.367,113.63,0
2018.12.04,113.624,113.649,112.569,112.777,0
2018.12.05,112.749,113.234,112.643,113.176,0
2018.12.06,113.18,113.189,112.226,112.671,0
2018.12.07,112.63,112.923,112.548,112.687,0
2018.12.10,112.642,113.362,112.235,113.303,0
2018.12.11,113.304,113.461,113.002,113.379,0
2018.12.12,113.351,113.515,113.135,113.264,0
2018.12.13,113.229,113.703,113.197,113.594,0
2018.12.14,113.618,113.669,113.204,113.38,0
2018.12.17,113.348,113.515,112.676,112.827,0
2018.12.18,112.817,112.847,112.242,112.52,0
2018.12.19,112.502,112.661,112.084,112.472,1
2018.12.20,112.375,112.599,110.807,111.284,1
2018.12.21,111.218,111.454,110.927,111.199,1
2018.12.24,110.945,111.186,110.262,110.427,1
2018.12.26,110.422,111.403,110.274,111.354,1
2018.12.27,111.296,111.337,110.451,110.98,1
2018.12.28,110.944,110.993,110.137,110.258,1
2018.12.31,110.268,110.47,109.551,109.573,1
2019.01.02,109.641,109.722,108.702,108.871,1
2019.01.03,108.822,108.895,106.43,107.635,1
2019.01.04,107.658,108.583,107.508,108.516,1
2019.01.07,108.479,108.742,108.015,108.702,1
2019.01.08,108.68,109.082,108.434,108.731,1
2019.01.09,108.724,108.997,107.967,108.127,1
2019.01.10,108.096,108.515,107.764,108.42,1
2019.01.11,108.418,108.593,108.14,108.544,1
2019.01.14,108.497,108.592,107.981,108.152,1
2019.01.15,108.149,108.76,108.113,108.69,1
2019.01.16,108.677,109.19,108.366,109.084,1
2019.01.17,109.037,109.4,108.68,109.237,1
2019.01.18,109.263,109.886,109.051,109.766,1
2019.01.21,109.695,109.758,109.468,109.645,0
2019.01.22,109.627,109.689,109.141,109.354,0
2019.01.23,109.372,109.994,109.31,109.607,0
2019.01.24,109.595,109.796,109.416,109.63,0
2019.01.25,109.624,109.947,109.449,109.538,0
2019.01.28,109.536,109.572,109.155,109.326,0
2019.01.29,109.305,109.536,109.124,109.362,0
2019.01.30,109.297,109.739,108.803,109.033,0
2019.01.31,108.988,109.062,108.492,108.85,0
2019.02.01,108.849,109.574,108.72,109.522,0
2019.02.04,109.504,110.157,109.428,109.896,0
2019.02.05,109.846,110.036,109.772,109.957,0
2019.02.06,109.954,110.048,109.553,109.968,0
2019.02.07,109.968,110.083,109.6,109.814,0
2019.02.08,109.787,109.893,109.642,109.741,0
2019.02.11,109.737,110.463,109.736,110.376,0
2019.02.12,110.337,110.646,110.334,110.478,0
2019.02.13,110.428,111.048,110.403,110.995,0
2019.02.14,110.987,111.124,110.451,110.469,0
2019.02.15,110.401,110.639,110.247,110.455,0
2019.02.18,110.438,110.647,110.435,110.594,0
2019.02.19,110.566,110.819,110.446,110.594,0
2019.02.20,110.588,110.945,110.516,110.844,0
2019.02.21,110.833,110.856,110.56,110.698,0
2019.02.22,110.642,110.901,110.553,110.64,0
2019.02.25,110.647,111.229,110.573,111.054,0
2019.02.26,111.013,111.07,110.413,110.57,0
2019.02.27,110.547,111.067,110.347,110.985,0
2019.02.28,110.986,111.487,110.654,111.378,0
2019.03.01,111.375,112.073,111.318,111.892,0
2019.03.04,111.848,112.008,111.635,111.734,0
2019.03.05,111.725,112.132,111.694,111.877,0
2019.03.06,111.83,111.916,111.609,111.767,0
2019.03.07,111.749,111.85,111.478,111.578,0
2019.03.08,111.548,111.644,110.774,111.145,0
2019.03.11,111.136,111.303,110.873,111.191,0
2019.03.12,111.206,111.46,111.105,111.334,0
2019.03.13,111.348,111.46,111.001,111.264,0
2019.03.14,111.278,111.829,111.14,111.647,0
2019.03.15,111.647,111.896,111.377,111.428,0
2019.03.18,111.465,111.624,111.292,111.434,0
2019.03.19,111.435,111.47,111.152,111.392,0
2019.03.20,111.391,111.688,110.527,110.636,0
2019.03.21,110.636,110.952,110.292,110.84,0
2019.03.22,110.84,110.889,109.735,109.901,0
2019.03.25,109.99,110.234,109.701,109.966,0
2019.03.26,109.965,110.683,109.948,110.609,0
2019.03.27,110.608,110.707,110.227,110.445,0
2019.03.28,110.445,110.825,110.01,110.633,0
2019.03.29,110.633,110.943,110.528,110.824,0
2019.04.01,110.945,111.437,110.844,111.339,0
2019.04.02,111.323,111.448,111.241,111.309,0
2019.04.03,111.315,111.57,111.201,111.484,0
2019.04.04,111.462,111.648,111.328,111.647,0
