date,open,high,low,close,TR,ATR,NATR,CHOP
2015.09.16,1105.23,1124.17,1103.91,1119.2,20.26,12.92642857,0.011549704,-296.4000178
2015.09.17,1119.11,1135.29,1115.29,1131.2,20,13.13785714,0.011614089,-298.1068491
2015.09.18,1130.53,1141.71,1127.54,1138.98,14.17,13.36142857,0.011731048,-299.6255561
2015.09.21,1139.52,1139.94,1129.4,1133.23,10.54,13.14357143,0.011598326,-299.573647
2015.09.22,1133.07,1136.54,1121.26,1124.45,15.28,13.48642857,0.0119938,-301.2503051
2015.09.23,1123.86,1134.35,1121.83,1129.92,12.52,13.48928571,0.011938266,-301.9144235
2015.09.24,1130.29,1156.68,1130.27,1153.78,26.76,14.28571429,0.012381662,-304.9954769
2015.09.25,1150.75,1151.21,1140.71,1145.56,10.5,14.40357143,0.012573389,-305.9484005
2015.09.28,1145.26,1148.21,1128.02,1131.96,20.19,15.26285714,0.013483566,-308.6749742
2015.09.29,1132,1134.72,1124.36,1126.91,10.36,14.27285714,0.012665481,-306.2597886
2015.09.30,1127.22,1128.12,1111.6,1114.69,16.52,14.65357143,0.013145871,-307.6474147
2015.10.01,1115.15,1119.16,1111.05,1113.14,8.11,14.22071429,0.012775315,-306.5178467
2015.10.02,1113.57,1141.24,1104.6,1138.76,36.64,16.34357143,0.014352077,-312.0979564
2015.10.05,1137.64,1141.91,1130.12,1135.38,11.79,16.68857143,0.014698666,-312.1148312
2015.10.06,1135.35,1151.18,1134.96,1147.02,16.22,16.4,0.01429792,-310.6851448
2015.10.07,1146.63,1153.57,1141.74,1145.14,11.83,15.81642857,0.013811786,-308.5799248
2015.10.08,1145.99,1151.23,1136.49,1138.63,14.74,15.85714286,0.013926511,-308.1694215
2015.10.09,1138.93,1159.57,1138.61,1156.52,20.96,16.60142857,0.01435464,-309.5175539
2015.10.12,1155.55,1168.91,1154.77,1163.48,14.14,16.52,0.014198783,-308.7929609
2015.10.13,1163.5,1168.64,1151.77,1168.43,16.87,16.83071429,0.014404555,-309.0392002
2015.10.14,1168.53,1189.78,1163.2,1183.81,26.58,16.81785714,0.014206551,-308.6577474
2015.10.15,1184.71,1191.5,1174.03,1182.86,17.47,17.31571429,0.014638854,-309.4621648
2015.10.16,1182.14,1184.51,1174.26,1177.14,10.25,16.60571429,0.01410683,-307.5052627
2015.10.19,1176.12,1178.21,1168.54,1170.64,9.67,16.55642857,0.014143057,-307.0493095
2015.10.20,1171.08,1180.62,1167.33,1175.74,13.29,16.32571429,0.01388548,-306.2771689
2015.10.21,1175.68,1179.22,1163.67,1166.88,15.55,16.85714286,0.014446338,-307.3029956
2015.10.22,1166.95,1171.77,1162.5,1165.39,9.27,14.90214286,0.012787258,-302.29151
2015.10.23,1165.62,1179.37,1158.88,1164.35,20.49,15.52357143,0.013332393,-304.3666616
2015.10.26,1163.66,1169.65,1162.11,1163.01,7.54,14.90357143,0.012814655,-302.9255311
2015.10.27,1162.73,1168.7,1160.62,1166.52,8.08,14.63571429,0.012546475,-302.4205262
2015.10.28,1166.65,1182.86,1152.24,1155.58,30.62,15.77,0.013646827,-305.7250266
2015.10.29,1155.35,1162.67,1144.63,1145.72,18.04,15.56142857,0.013582227,-305.3205009
2015.10.30,1147.58,1150.08,1139.23,1141.81,10.85,15.32642857,0.013422924,-304.8348253
2015.11.02,1141.95,1142.88,1132.73,1133.45,10.15,14.84642857,0.013098442,-303.7494291
2015.11.03,1133.58,1138.42,1114.35,1117.36,24.07,14.66714286,0.013126605,-303.4684789
2015.11.04,1117.87,1122.83,1106.35,1107.52,16.48,14.59642857,0.013179381,-303.5942232
2015.11.05,1107.77,1111.47,1102.95,1103.48,8.52,14.47285714,0.01311565,-303.4544208
2015.11.06,1104.44,1110.42,1085.44,1087.7,24.98,15.56642857,0.014311325,-306.5788567
2015.11.09,1089.82,1095.65,1088.32,1091.95,7.95,15.185,0.013906314,-305.369764
2015.11.10,1091.86,1094.68,1085,1089.36,9.68,14.76571429,0.013554485,-304.3573933
2015.11.11,1089.88,1093.57,1084.15,1086.05,9.42,14.77642857,0.013605661,-304.1987524
2015.11.12,1085.82,1089.63,1074.06,1084.82,15.57,14.425,0.013297137,-303.158384
2015.11.13,1085,1088.64,1079.57,1081.93,9.07,14.53428571,0.013433665,-303.3438125
2015.11.16,1089.56,1098.15,1081.33,1082.47,16.82,15.15857143,0.014003687,-304.8401
2015.11.17,1083.66,1084.93,1065.41,1069.99,19.52,14.36571429,0.013426027,-302.5506613
2015.11.18,1071.15,1075.39,1064.67,1070.5,10.72,13.84285714,0.012931207,-301.0852424
2015.11.19,1071,1087.36,1069.39,1081.95,17.97,14.35142857,0.01326441,-302.6936742
2015.11.20,1081.68,1088.03,1075.82,1077.93,12.21,14.49857143,0.013450383,-303.0569307
2015.11.23,1076.74,1077.02,1066.66,1068.68,10.36,13.51928571,0.012650453,-300.1199246
2015.11.24,1068.97,1081.12,1068.92,1075.35,12.44,13.23071429,0.012303635,-299.3259057
2015.11.25,1075.49,1080.81,1067.76,1071.03,13.05,13.55428571,0.012655374,-300.486958
2015.11.26,1071.19,1074.78,1069.65,1071.6,5.13,12.13642857,0.011325521,-296.3650856
2015.11.27,1071.76,1073.77,1052.67,1056.96,21.1,13.07571429,0.012371059,-300.1302063
2015.11.30,1058.41,1069.67,1053.12,1064.03,16.55,13.56642857,0.012750043,-301.9243752
2015.12.01,1064.97,1074.67,1063.2,1069.22,11.47,13.71285714,0.012825103,-302.5784119
2015.12.02,1068.93,1071.46,1050.52,1053.4,20.94,14.09642857,0.013381838,-303.7576516
2015.12.03,1054.07,1065.47,1046.23,1061.99,19.24,14.82285714,0.013957624,-305.8168301
2015.12.04,1063.5,1088.78,1058.12,1086.77,30.66,15.81142857,0.014549011,-308.4934568
2015.12.07,1085.62,1086.6,1066.07,1070.92,20.53,15.88357143,0.014831707,-308.3569467
2015.12.08,1070.42,1079.09,1067.56,1074.42,11.53,15.94142857,0.014837241,-308.0656297
2015.12.09,1075,1085.39,1069.17,1072.4,16.22,15.81642857,0.014748628,-307.3766298
2015.12.10,1071.96,1076.46,1069.3,1070.97,7.16,15.45571429,0.01443151,-306.1458913
2015.12.11,1071.45,1079.54,1062.38,1074.56,17.16,15.94142857,0.014835308,-306.9883543
2015.12.14,1073.56,1077.5,1058.66,1059.91,18.84,16.39857143,0.015471664,-307.5440581
2015.12.15,1060.63,1068.61,1058.83,1060.79,9.78,16.165,0.015238643,-306.343504
2015.12.16,1061.14,1078.24,1060.84,1071.73,17.45,17.045,0.015904192,-307.6314088
2015.12.17,1072.63,1072.84,1047.58,1051.23,25.26,17.34214286,0.016497001,-307.4959052
2015.12.18,1052.07,1071.53,1050.82,1065.86,20.71,17.63928571,0.016549346,-307.4334965
2015.12.21,1065.76,1081.66,1063.77,1078.27,17.89,18.09785714,0.016784161,-307.7297003
