date,open,high,low,close,CI,trend,in_progress
2015-11-11,1.5114,1.522,1.5114,1.521,42.89930327581297,0.0,0.5
2015-11-12,1.5207,1.5247,1.5174,1.5231,42.78590044821423,0.0,0.5
2015-11-13,1.5229,1.5263,1.5187,1.5227,42.720679692191865,0.0,0.5
2015-11-16,1.5225,1.5229,1.5181,1.5197,42.687093825947265,0.0,0.5
2015-11-17,1.5197,1.5238,1.5154,1.5211,42.64787265372687,0.0,0.5
2015-11-18,1.5211,1.5249,1.5188,1.5236,42.584285509949225,0.0,0.5
2015-11-19,1.5236,1.5336,1.5226,1.529,42.24963522595185,0.0,0.5
2015-11-20,1.5289,1.5309,1.5182,1.519,46.594233922521596,0.0,0.5
2015-11-23,1.5185,1.5195,1.5109,1.5125,46.80004266926672,0.0,0.5
2015-11-24,1.5125,1.5156,1.5054,1.5076,51.16681951194786,0.0,0.5
2015-11-25,1.5076,1.5136,1.5056,1.5129,58.271423266001555,0.0,0.5
2015-11-26,1.5128,1.513,1.5065,1.5101,59.191567355731536,0.0,0.5
2015-11-27,1.5101,1.511,1.5028,1.5028,56.91674305457378,0.0,0.5
2015-11-30,1.5032,1.5069,1.4994,1.5056,52.231963043022915,0.0,0.5
2015-12-01,1.5055,1.5126,1.5051,1.508,51.50515879052696,0.0,0.5
2015-12-02,1.5081,1.5082,1.4894,1.4951,41.36473606408668,0.0,0.5
2015-12-03,1.4951,1.5159,1.4903,1.5142,41.31331480749278,0.0,0.5
2015-12-04,1.5143,1.5156,1.5078,1.5105,41.38117613947618,0.0,0.0
2015-12-07,1.5106,1.5115,1.5044,1.5055,41.45301772194612,0.0,0.0
2015-12-08,1.5055,1.5061,1.4957,1.5007,41.64937261151645,0.0,0.0
2015-12-09,1.5006,1.5191,1.5003,1.518,44.49000400994741,0.0,0.0
2015-12-10,1.5177,1.5201,1.511,1.5159,56.22109401392429,0.0,0.0
2015-12-11,1.5159,1.5239,1.5124,1.5218,52.163337800326886,0.0,0.0
2015-12-14,1.523,1.5231,1.5108,1.514,52.53186825679442,0.0,0.0
2015-12-15,1.514,1.5184,1.5029,1.5038,53.26796626598501,0.0,0.0
2015-12-16,1.5037,1.5098,1.4957,1.5,54.37120707546399,0.0,0.0
2015-12-17,1.5001,1.5012,1.4865,1.4898,52.51362052166903,0.0,0.0
2015-12-18,1.4895,1.495,1.4885,1.4886,53.62303902469408,0.0,0.0
2015-12-21,1.4898,1.4928,1.4876,1.4879,54.7145629433256,0.0,0.0
2015-12-22,1.488,1.4907,1.4805,1.4826,49.80229193616535,0.0,0.0
2015-12-23,1.4826,1.49,1.4817,1.4869,49.92941380788007,0.0,0.0
2015-12-24,1.4869,1.4945,1.4858,1.4901,50.02114463457482,0.0,0.0
2015-12-28,1.491,1.4933,1.4873,1.4879,50.11597738305383,0.0,0.0
2015-12-29,1.4877,1.4913,1.4785,1.4811,48.47191774118965,0.0,0.0
2015-12-30,1.4812,1.4848,1.4793,1.4809,48.183837821261,0.0,0.0
2015-12-31,1.4809,1.4844,1.4726,1.4734,43.36988782919908,0.0,0.0
2016-01-04,1.473,1.4816,1.4663,1.4711,39.34069249444596,0.0,0.0
2016-01-05,1.4712,1.4725,1.4638,1.4674,40.570003541534966,0.0,0.0
2016-01-06,1.4673,1.4681,1.4601,1.4629,43.605974800894714,0.0,0.0
2016-01-07,1.463,1.464,1.4533,1.4616,44.27665230294758,0.0,0.0
2016-01-08,1.4617,1.4645,1.4506,1.4517,46.27941961573692,0.0,0.0
2016-01-11,1.4522,1.4604,1.4492,1.454,44.73084774328428,0.0,0.0
2016-01-12,1.4539,1.456,1.4351,1.4442,33.99351702998227,0.0,0.0
2016-01-13,1.4443,1.4476,1.438,1.4406,33.66885169134869,0.0,0.0
2016-01-14,1.4406,1.4445,1.436,1.441,33.670725554226145,0.0,0.0
2016-01-15,1.441,1.4427,1.4251,1.4256,28.587364944190423,0.0,0.0
2016-01-18,1.4252,1.4323,1.4236,1.4242,29.087637429227826,0.0,0.0
2016-01-19,1.4242,1.4339,1.4129,1.4153,27.133897946739967,0.0,0.0
2016-01-20,1.4153,1.4219,1.4125,1.4187,27.77051335106535,0.0,0.0
2016-01-21,1.4187,1.4248,1.4078,1.4219,27.452739285520153,0.0,0.0
2016-01-22,1.4219,1.4362,1.4204,1.4262,33.04048688969753,0.0,0.0
2016-01-25,1.4263,1.4309,1.4223,1.4246,36.36125494796061,0.0,0.0
2016-01-26,1.4247,1.4367,1.4173,1.4349,39.65300471738079,0.0,0.0
2016-01-27,1.4349,1.4355,1.4229,1.4232,40.67508268190723,0.0,0.0
2016-01-28,1.4232,1.4408,1.4232,1.4358,44.585897027202236,0.0,0.0
2016-01-29,1.4356,1.4413,1.4149,1.4243,49.09527419938646,0.0,0.0
2016-02-01,1.4247,1.4445,1.4228,1.443,57.291025496692946,0.0,0.0
2016-02-02,1.443,1.4446,1.4326,1.4407,61.22142342471486,0.0,0.0
2016-02-03,1.4407,1.4649,1.4383,1.46,45.76656276552447,0.0,0.5
2016-02-04,1.4593,1.4669,1.4529,1.4585,45.44505128965919,0.0,0.5
2016-02-05,1.4584,1.459,1.4451,1.4497,46.436825175373215,0.0,0.5
2016-02-08,1.4493,1.4547,1.435,1.4428,47.27857148628704,0.0,0.5
2016-02-09,1.4429,1.4516,1.4378,1.4468,48.108458391253066,0.0,0.5
2016-02-10,1.4468,1.4578,1.4432,1.4521,53.67445955149546,0.0,0.5
2016-02-11,1.4521,1.4563,1.4382,1.4473,54.39974138871632,0.0,0.5
2016-02-12,1.4472,1.457,1.4443,1.4498,55.162419928078805,0.0,0.5
2016-02-15,1.4504,1.4535,1.4412,1.443,55.68922126267758,0.0,0.5
2016-02-16,1.4429,1.4515,1.4276,1.4301,56.31963671031945,0.0,0.5
2016-02-17,1.4302,1.4339,1.4235,1.4287,56.81327085285998,0.0,0.5
2016-02-18,1.4286,1.4394,1.4256,1.433,63.22429916394485,0.0,0.0
2016-02-19,1.4334,1.4396,1.4246,1.4391,63.910341836542074,0.0,0.0
